predict_time,MSL,ob,10UV,ob_p
2016-03-01 20:00:00,1.5359849962651424,13.5,8.070682963046734,10.0672455
2016-03-02 20:00:00,0.4245497293695735,10.2,3.2699517223131362,10.221811
2016-03-03 20:00:00,0.5315020956401213,4.5,2.506325128186811,9.81888
2016-03-04 20:00:00,1.0230199532845743,4.8,2.8653871053409627,8.1175785
2016-03-05 20:00:00,0.9268605308523092,3.7,1.7835829840133088,7.579973
2016-03-06 20:00:00,0.6681457404355342,4.1,5.483444689797031,6.6139383
2016-03-07 20:00:00,0.5035034218841474,5.0,1.7230919748211064,6.424674
2016-03-08 20:00:00,0.8692620457859448,4.8,3.6375525311938537,6.7344623
2016-03-09 20:00:00,3.3648501286370447,14.0,11.910546334621785,6.6569786
2016-03-10 20:00:00,3.068453760841294,15.7,11.367888316389758,9.557172
2016-03-11 20:00:00,2.4636650364320762,10.9,8.56275926190716,10.204624
2016-03-12 20:00:00,0.995952420864228,9.4,6.033306881815528,9.8073845
2016-03-13 20:00:00,2.376543790022538,8.8,10.884690004782586,9.510036
2016-03-14 20:00:00,2.3870612154519217,12.9,11.210236954231684,9.300871
2016-03-15 20:00:00,0.6719879113358047,12.5,6.462480616223662,10.0250025
2016-03-16 20:00:00,0.9623332619544273,7.2,6.175447430626909,10.075546
2016-03-17 20:00:00,0.4325618180337187,8.8,0.9326770291078584,9.042001
2016-03-18 20:00:00,1.2437833312003477,3.8,3.796073364091261,9.241302
2016-04-05 20:00:00,0.3908988204125308,6.4,1.5828649209032275,6.7360134
2016-04-06 20:00:00,0.6423342790418474,3.9,3.844238085831262,7.390547
2016-04-07 20:00:00,0.2669514750026565,7.3,5.257461323825382,6.328212
2016-04-08 20:00:00,0.8795272049866298,6.8,6.536061508515518,7.701801
2016-04-09 20:00:00,0.18386726322205504,6.2,3.86767094038841,7.754071
2016-04-10 20:00:00,1.6122599680326175,6.4,8.144459889873351,7.553442
2016-04-11 20:00:00,1.5449772712225922,5.0,6.520348163101599,7.6162705
2016-04-12 20:00:00,0.7155323078196716,9.8,3.3906545732233524,6.984394
2016-04-13 20:00:00,1.8174792898608985,4.3,5.447160785235224,8.7327385
2016-04-14 20:00:00,1.7264628881215458,8.9,8.626993890518925,6.9309397
2016-04-15 20:00:00,0.7371624325696757,7.9,3.9761921668539633,8.498438
2016-04-16 20:00:00,1.8680918654273453,6.2,4.198077855745611,8.437423
2016-04-17 20:00:00,1.7794974909783148,7.6,3.861133797610621,7.8163123
2016-04-18 20:00:00,1.7161939873359415,10.1,9.247450260870846,8.244645
2016-04-19 20:00:00,0.9457264969837524,9.0,5.345805611883861,9.108839
2016-04-20 20:00:00,0.7319690828356897,4.6,3.546507940646725,9.012708
2016-04-22 20:00:00,0.19930389445937635,4.2,5.613305850852052,6.298788
2016-04-23 20:00:00,0.3733044019278395,4.4,5.329881087581079,6.358995
2016-04-24 20:00:00,1.4418291096941402,6.8,6.002285209378647,6.3884916
2016-04-25 20:00:00,1.6584995330855463,7.4,5.3796536666718575,7.494084
2016-04-26 20:00:00,1.3955340286680666,6.9,5.037287870017553,7.9638033
2016-04-27 20:00:00,1.908542641944564,3.4,5.331968977598502,7.909355
2016-04-28 20:00:00,2.498607272624895,9.9,8.018542848822898,6.277066
2016-04-29 20:00:00,1.433979307414006,7.1,5.745819487933731,8.654319
2016-04-30 20:00:00,1.348849737819933,5.4,3.4751406947909023,8.133753
2017-03-01 20:00:00,3.1920632876237964,4.9,7.092471300480508,9.365065
2017-03-02 20:00:00,2.5697611483410583,11.7,9.153498442423725,7.8954906
2017-03-03 20:00:00,0.918202327667018,9.8,4.841876744676002,9.5905285
2017-03-04 20:00:00,0.5075671112217606,5.6,2.304174490384978,9.409927
2017-03-05 20:00:00,1.9909148361551845,10.2,9.207064111394814,8.067816
2017-03-06 20:00:00,2.220802100760352,12.6,9.490762299535511,9.249555
2017-03-07 20:00:00,2.0176226149558256,9.6,6.918979829170457,9.874609
2017-03-08 20:00:00,2.3636941479489906,9.7,6.45365498277313,9.471845
2017-03-09 20:00:00,2.0871753725031112,9.6,5.5994394334150215,9.463182
2017-03-10 20:00:00,1.9949368312127265,10.9,8.056271025557393,9.431923
2017-03-11 20:00:00,1.2179121125810752,11.2,7.162356067006459,9.700193
2017-03-12 20:00:00,0.6520123688626427,5.4,1.980763271542039,9.808901
2017-03-13 20:00:00,1.9783306488035348,11.8,11.050304556385775,8.251013
2017-03-14 20:00:00,2.6822858405557786,13.2,11.266920919306347,9.696597
2017-03-15 20:00:00,1.4194186948592458,11.9,8.096449664756111,10.06809
2017-03-16 20:00:00,1.6828465233221552,9.0,7.785614940422798,9.997838
2017-03-17 20:00:00,0.7292839692037205,7.8,7.002909191823642,9.495634
2017-03-18 20:00:00,1.4326112922758512,7.4,7.3168770285023275,9.067523
2017-03-19 20:00:00,0.9591114044565074,7.2,6.427834460701307,8.760889
2017-03-20 20:00:00,2.261328760305105,5.9,8.192906389356937,8.519033
2017-03-21 20:00:00,1.9194629232273428,11.5,10.376625201577534,7.857053
2017-03-22 20:00:00,1.058000302481446,11.1,5.389427910806933,9.43516
2017-03-23 20:00:00,1.4867590082627655,8.7,8.782837466693149,9.613701
2017-03-24 20:00:00,1.8187509302483704,9.9,6.327366092565818,9.162924
2017-03-25 20:00:00,2.423407715305644,7.5,8.229175914389286,9.406266
2017-03-26 20:00:00,1.5060699227249188,9.1,7.028996974398236,8.77162
2017-03-27 20:00:00,1.5113858173550625,6.0,6.736202392210469,9.104155
