now_time,predict_time,id,lon,lat,10UV,MSL,ob,10UV_-1,ob_-1,ob_-2,ob_-3,ob_-4,ob_-5,ob_-6,ob_-7,ob_-8,ob_-9,ob_-10,ob_-11,ob_-12,ob_-13,ob_-14,ob_-15
2015-07-01 08:00:00,2015-07-02 20:00:00,F2273,117.9,24.035,7.383139459278058,1.3116735489337543,7.0,8.134219039927817,8.1,8.2,7.1,6.6,6.2,5.6,3.8,4.6,5.5,6.9,6.7,6.5,6.8,7.4,6.7
2015-07-02 08:00:00,2015-07-03 20:00:00,F2273,117.9,24.035,4.57496857402511,0.2265093007996484,6.1,6.886628161864822,8.2,8.1,8.2,7.1,6.6,6.2,5.6,3.8,4.6,5.5,6.9,6.7,6.5,6.8,7.4
2015-07-03 08:00:00,2015-07-04 20:00:00,F2273,117.9,24.035,3.0680268527430945,1.2028904086173495,7.4,4.944323002628146,7.0,8.2,8.1,8.2,7.1,6.6,6.2,5.6,3.8,4.6,5.5,6.9,6.7,6.5,6.8
2015-07-04 08:00:00,2015-07-05 20:00:00,F2273,117.9,24.035,2.58569796052593,1.6664430450617829,8.4,6.613898149669738,6.1,7.0,8.2,8.1,8.2,7.1,6.6,6.2,5.6,3.8,4.6,5.5,6.9,6.7,6.5
2015-07-05 08:00:00,2015-07-06 20:00:00,F2273,117.9,24.035,1.239006626546945,1.6248866620277342,9.6,6.983652097038951,7.4,6.1,7.0,8.2,8.1,8.2,7.1,6.6,6.2,5.6,3.8,4.6,5.5,6.9,6.7
2015-07-06 08:00:00,2015-07-07 20:00:00,F2273,117.9,24.035,6.510518022092607,3.348329564113101,9.3,6.352355025467527,8.4,7.4,6.1,7.0,8.2,8.1,8.2,7.1,6.6,6.2,5.6,3.8,4.6,5.5,6.9
2015-07-07 08:00:00,2015-07-08 20:00:00,F2273,117.9,24.035,17.105712674087037,1.7912223803871257,11.9,10.349019938336356,9.6,8.4,7.4,6.1,7.0,8.2,8.1,8.2,7.1,6.6,6.2,5.6,3.8,4.6,5.5
2015-07-08 08:00:00,2015-07-09 20:00:00,F2273,117.9,24.035,8.64530983418979,2.35333414562308,9.3,11.186408560856998,9.3,9.6,8.4,7.4,6.1,7.0,8.2,8.1,8.2,7.1,6.6,6.2,5.6,3.8,4.6
2015-07-09 08:00:00,2015-07-10 20:00:00,F2273,117.9,24.035,6.997761049226898,3.773716647321862,7.7,9.12571356865985,11.9,9.3,9.6,8.4,7.4,6.1,7.0,8.2,8.1,8.2,7.1,6.6,6.2,5.6,3.8
2015-07-10 08:00:00,2015-07-11 20:00:00,F2273,117.9,24.035,4.705691761846748,1.2820581588759978,5.0,6.872970714527589,9.3,11.9,9.3,9.6,8.4,7.4,6.1,7.0,8.2,8.1,8.2,7.1,6.6,6.2,5.6
2015-07-12 08:00:00,2015-07-13 20:00:00,F2273,117.9,24.035,3.5255942015635484,0.20034375924740289,4.0,4.181448143259302,5.0,7.7,9.3,11.9,9.3,9.6,8.4,7.4,6.1,7.0,8.2,8.1,8.2,7.1,6.6
2015-07-30 08:00:00,2015-07-31 20:00:00,F2273,117.9,24.035,3.0371606094720267,0.6043758434677784,4.2,2.6286813956927566,6.7,6.5,6.2,7.4,7.9,5.9,8.1,12.2,13.5,11.7,10.9,7.5,3.9,1.8,3.0
2015-08-31 08:00:00,2015-09-01 20:00:00,F2273,117.9,24.035,2.9820772865421463,0.08444390291776926,8.8,2.7496874212522933,6.4,6.3,7.1,3.8,0.8,4.0,3.3,5.5,5.3,5.9,4.1,3.1,4.2,4.6,8.9
2015-09-01 08:00:00,2015-09-02 20:00:00,F2273,117.9,24.035,1.71575416713912,0.4481143409007018,0.3,2.7064454037824137,5.3,6.4,6.3,7.1,3.8,0.8,4.0,3.3,5.5,5.3,5.9,4.1,3.1,4.2,4.6
2015-09-03 08:00:00,2015-09-04 20:00:00,F2273,117.9,24.035,3.792794084976096,0.7519565163945572,5.1,2.0749315310165866,0.3,8.8,5.3,6.4,6.3,7.1,3.8,0.8,4.0,3.3,5.5,5.3,5.9,4.1,3.1
2015-09-04 08:00:00,2015-09-05 20:00:00,F2273,117.9,24.035,6.170605668727934,0.9620652998271452,7.0,3.627125306364578,3.1,0.3,8.8,5.3,6.4,6.3,7.1,3.8,0.8,4.0,3.3,5.5,5.3,5.9,4.1
