,time,id,lon,lat,10U,10V,10UV,MSL,3h_Dvalue,6h_Dvalue,9h_Dvalue,12h_Dvalue,max_Dvalue,2_min_wind_force,great_wind_force,2_Min_Wind_Force,Great_Wind_Force,delta_ec_ob
0,2016-03-01 20:00:00,F2273,117.9,24.035,-3.5854476341271067,1.1477372735736493,3.7646693860441367,0.3840224080053076,0.7210468990033405,0.0236220451531608,2.9866986579551167,3.0569251909365684,3.0569251909365684,3.8,4.8,3.1904761904761902,3.6666666666666665,0.03533061395586312
1,2016-03-02 20:00:00,F2273,117.9,24.035,-3.2266605866750164,1.7698499702433417,3.68017763956746,0.4913714887900369,1.1888215656579175,0.5127651414338743,1.9669233871977667,2.223717042794988,2.223717042794988,2.7,4.6,2.6111111111111107,3.571428571428571,-0.9801776395674597
2,2016-03-03 20:00:00,F2273,117.9,24.035,-2.4289615507794333,1.842059881383076,3.048448592606715,0.2245857155627391,1.632387195157321,1.1943301668304684,1.5385374002462413,1.6673298562078571,1.6673298562078571,3.6,6.3,3.0952380952380962,4.32,0.5515514073932852
3,2016-03-04 20:00:00,F2273,117.9,24.035,-3.7786437223026543,-2.6480828439179183,4.614162017999549,1.2421119018107447,2.015587924505553,1.7028227738637725,0.879969673527853,0.8996582021594577,2.015587924505553,3.7,5.0,3.1428571428571432,3.761904761904762,-0.9141620179995487
4,2016-03-05 20:00:00,F2273,117.9,24.035,-4.139929920320701,-2.3466704366792808,4.758768946224548,0.9376637765437864,1.5365094901860634,0.11076453733107884,2.6306404299925816,1.9468209615546361,2.6306404299925816,5.6,6.8,4.04,4.52,0.8412310537754513
5,2016-03-07 20:00:00,F2273,117.9,24.035,-7.279166940763136,-7.902301903612912,10.743958615302985,3.8922915425387146,2.4422096498278734,3.6757939405074467,3.72469062585094,4.736135738348594,4.736135738348594,13.5,19.6,6.870967741935482,8.666666666666668,2.7560413846970153
6,2016-03-08 20:00:00,F2273,117.9,24.035,-7.17002241195277,-8.890774682044695,11.421694087778395,4.0246110785119535,2.5301775453290247,2.1676431313153444,0.44980379349135546,2.16754935044969,2.5301775453290247,13.3,19.3,6.806451612903228,8.583333333333334,1.878305912221606
7,2016-03-09 20:00:00,F2273,117.9,24.035,-4.426292119193543,-7.733411448518419,8.910539521067767,2.677107128545231,0.9027924473911072,0.3090754045961148,1.9697746290289613,0.7777455569585072,1.9697746290289613,8.1,13.2,5.035714285714286,6.774193548387097,-0.810539521067767
8,2016-03-10 20:00:00,F2273,117.9,24.035,-3.8233351059181113,-6.232540546278912,7.311802308128723,1.6293961389415017,1.0117164386920194,0.09171643869206036,2.5551045228627345,2.8905380043496507,2.8905380043496507,8.2,11.6,5.071428571428571,6.258064516129032,0.8881976918712766
9,2016-03-11 20:00:00,F2273,117.9,24.035,-2.8323896682488674,-3.7650910269331135,4.7115116124122185,1.360920053748487,1.6918102195572828,0.7440646625990439,2.1915778646130093,2.650728388895004,2.650728388895004,3.8,6.3,3.1904761904761902,4.32,-0.9115116124122187
10,2016-03-12 20:00:00,F2273,117.9,24.035,-7.495752323019495,-8.0865748728332,11.026286594406542,3.0817686963827096,1.3193595700073502,0.9247179318085728,1.1599999999997408,0.05317903844536431,1.3193595700073502,12.0,17.0,6.387096774193548,7.9393939393939394,0.9737134055934575
11,2016-03-13 20:00:00,F2273,117.9,24.035,-7.07683981429487,-6.6393711319044195,9.70375756005656,1.8291841208753112,0.9293595700071364,0.3975190239772246,3.2791330370259857,3.36356259977606,3.36356259977606,9.9,13.0,5.678571428571429,6.709677419354838,0.1962424399434397
12,2016-03-14 20:00:00,F2273,117.9,24.035,-4.6672994718989465,-3.619223143369533,5.906137529882778,1.3167426844620422,1.15543348148708,0.679092891852406,1.996878593984548,1.397149920179004,1.996878593984548,6.2,9.4,4.28,5.5,0.29386247011722233
13,2016-03-15 20:00:00,F2273,117.9,24.035,-3.8531047122662745,-2.933930036994,4.8429703060894544,0.9162543616160974,0.6274189223535132,0.27044481044652,3.0311360958047544,3.235257803871832,3.235257803871832,4.7,7.4,3.619047619047618,4.76,-0.14297030608945427
