now_time,predict_time,id,lon,lat,10UV,MSL,ob,10UV_-1,ob_-1,ob_-2,ob_-3,ob_-4,ob_-5,ob_-6,ob_-7,ob_-8,ob_-9,ob_-10,ob_-11,ob_-12,ob_-13,ob_-14,ob_-15
2015-09-30 08:00:00,2015-10-01 20:00:00,F6038,117.617,23.834,6.639930931724843,3.112463971070042,6.3,2.0976762538438587,2.7,7.2,5.6,3.6,4.0,4.0,4.2,4.2,3.8,1.7,2.7,4.5,4.0,4.0,5.4
2015-10-01 08:00:00,2015-10-02 20:00:00,F6038,117.617,23.834,6.6238805312128175,2.984579571745712,3.2,8.22412759791238,3.2,2.7,7.2,5.6,3.6,4.0,4.0,4.2,4.2,3.8,1.7,2.7,4.5,4.0,4.0
2015-10-02 08:00:00,2015-10-03 20:00:00,F6038,117.617,23.834,5.94227098147704,2.3783528198949853,5.3,6.3150562491994275,6.3,3.2,2.7,7.2,5.6,3.6,4.0,4.0,4.2,4.2,3.8,1.7,2.7,4.5,4.0
2015-10-03 08:00:00,2015-10-04 20:00:00,F6038,117.617,23.834,4.5860968676111735,2.7355469017765017,6.0,6.347448174901607,3.2,6.3,3.2,2.7,7.2,5.6,3.6,4.0,4.0,4.2,4.2,3.8,1.7,2.7,4.5
2015-10-04 08:00:00,2015-10-05 20:00:00,F6038,117.617,23.834,5.73671293661386,2.465951451146566,4.9,5.279497453263988,5.3,3.2,6.3,3.2,2.7,7.2,5.6,3.6,4.0,4.0,4.2,4.2,3.8,1.7,2.7
2015-10-05 08:00:00,2015-10-06 20:00:00,F6038,117.617,23.834,5.050738007835207,2.167618542352784,4.0,6.1589641149715675,6.0,5.3,3.2,6.3,3.2,2.7,7.2,5.6,3.6,4.0,4.0,4.2,4.2,3.8,1.7
2015-10-06 08:00:00,2015-10-07 20:00:00,F6038,117.617,23.834,2.032429591822792,1.4507153315697678,4.3,5.3420898392790495,4.9,6.0,5.3,3.2,6.3,3.2,2.7,7.2,5.6,3.6,4.0,4.0,4.2,4.2,3.8
2015-10-07 08:00:00,2015-10-08 20:00:00,F6038,117.617,23.834,4.545372153976581,2.3899183405321764,5.2,3.1562862736329613,4.0,4.9,6.0,5.3,3.2,6.3,3.2,2.7,7.2,5.6,3.6,4.0,4.0,4.2,4.2
2015-10-08 08:00:00,2015-10-09 20:00:00,F6038,117.617,23.834,5.744017193542383,2.53637251030716,3.0,5.922083032861076,4.3,4.0,4.9,6.0,5.3,3.2,6.3,3.2,2.7,7.2,5.6,3.6,4.0,4.0,4.2
2015-10-09 08:00:00,2015-10-10 20:00:00,F6038,117.617,23.834,4.936709824858768,4.091374552595654,5.2,6.329326256322784,5.2,4.3,4.0,4.9,6.0,5.3,3.2,6.3,3.2,2.7,7.2,5.6,3.6,4.0,4.0
2015-10-10 08:00:00,2015-10-11 20:00:00,F6038,117.617,23.834,7.463793276360911,3.2294332783928894,3.8,4.992011338268412,3.0,5.2,4.3,4.0,4.9,6.0,5.3,3.2,6.3,3.2,2.7,7.2,5.6,3.6,4.0
2015-10-11 08:00:00,2015-10-12 20:00:00,F6038,117.617,23.834,7.346236141670188,3.446481677907286,3.9,7.2785703669303174,5.2,3.0,5.2,4.3,4.0,4.9,6.0,5.3,3.2,6.3,3.2,2.7,7.2,5.6,3.6
