id,time,ob
46730,2015-06-16 08:00:00,7.0
46730,2015-06-17 08:00:00,4.0
46730,2015-06-18 08:00:00,6.3
46730,2015-06-19 08:00:00,3.0
46730,2015-06-20 08:00:00,3.5
46730,2015-06-21 08:00:00,5.5
46730,2015-06-22 08:00:00,9.0
46730,2015-06-23 08:00:00,10.6
46730,2015-06-24 08:00:00,7.5
46730,2015-06-25 08:00:00,6.5
46730,2015-06-26 08:00:00,8.5
46730,2015-06-27 08:00:00,8.5
46730,2015-06-28 08:00:00,6.8
46730,2015-06-29 08:00:00,7.5
46730,2015-06-30 08:00:00,8.0
46730,2015-07-01 08:00:00,8.8
46730,2015-07-02 08:00:00,8.0
46730,2015-07-03 08:00:00,4.5
46730,2015-07-04 08:00:00,6.5
46730,2015-07-05 08:00:00,10.5
46730,2015-07-06 08:00:00,10.0
46730,2015-07-07 08:00:00,10.5
46730,2015-07-08 08:00:00,11.0
46730,2015-07-09 08:00:00,9.5
46730,2015-07-10 08:00:00,13.5
46730,2015-07-11 08:00:00,10.0
46730,2015-07-12 08:00:00,9.0
46730,2015-07-13 08:00:00,3.5
46730,2015-07-14 08:00:00,3.5
46730,2015-07-15 08:00:00,3.0
46730,2015-07-16 08:00:00,4.5
46730,2015-07-17 08:00:00,3.5
46730,2015-07-18 08:00:00,5.5
46730,2015-07-19 08:00:00,14.5
46730,2015-07-20 08:00:00,14.0
46730,2015-07-21 08:00:00,10.5
46730,2015-07-23 08:00:00,9.0
46730,2015-07-24 08:00:00,8.0
46730,2015-07-25 08:00:00,7.9
46730,2015-07-26 08:00:00,4.5
46730,2015-07-27 08:00:00,6.0
46730,2015-07-29 08:00:00,4.0
46730,2015-07-30 08:00:00,3.5
46730,2015-08-01 08:00:00,4.6
46730,2015-08-02 08:00:00,3.9
46730,2015-08-05 08:00:00,3.0
46730,2015-08-06 08:00:00,8.6
46730,2015-08-07 08:00:00,21.5
46730,2015-08-08 08:00:00,31.5
46730,2015-08-09 08:00:00,12.1
46730,2015-08-10 08:00:00,7.5
46730,2015-08-12 08:00:00,8.0
46730,2015-08-13 08:00:00,8.0
46730,2015-08-14 08:00:00,9.5
46730,2015-08-15 08:00:00,6.0
46730,2015-08-16 08:00:00,5.5
46730,2015-08-17 08:00:00,4.6
46730,2015-08-18 08:00:00,4.0
46730,2015-08-21 08:00:00,9.5
46730,2015-08-22 08:00:00,11.0
46730,2015-08-23 08:00:00,14.5
46730,2015-08-24 08:00:00,4.5
46730,2015-08-25 08:00:00,7.0
46730,2015-08-26 08:00:00,8.0
46730,2015-08-27 08:00:00,5.0
46730,2015-08-28 08:00:00,13.0
46730,2015-08-29 08:00:00,11.5
46730,2015-08-30 08:00:00,9.8
46730,2015-08-31 08:00:00,7.0
46730,2015-09-01 08:00:00,5.5
46730,2015-09-02 08:00:00,4.0
46730,2015-09-03 08:00:00,3.5
46730,2015-09-04 08:00:00,4.0
46730,2015-09-05 08:00:00,3.0
46730,2015-09-06 08:00:00,6.5
46730,2015-09-07 08:00:00,7.6
46730,2015-09-08 08:00:00,11.6
46730,2015-09-09 08:00:00,10.5
46730,2015-09-10 08:00:00,10.5
46730,2015-09-15 08:00:00,8.5
46730,2015-09-16 08:00:00,10.0
46730,2015-09-17 08:00:00,9.5
46730,2015-09-18 08:00:00,9.5
46730,2015-09-19 08:00:00,9.6
46730,2015-09-22 08:00:00,5.5
46730,2015-09-23 08:00:00,4.5
46730,2015-09-26 08:00:00,12.5
46730,2015-09-27 08:00:00,16.6
46730,2015-09-28 08:00:00,20.6
46730,2015-09-29 08:00:00,13.0
46730,2015-09-30 08:00:00,12.0
46730,2015-10-01 08:00:00,4.5
46730,2015-10-02 08:00:00,12.0
46730,2015-10-03 08:00:00,7.5
46730,2015-10-04 08:00:00,7.0
46730,2015-10-05 08:00:00,5.0
46730,2015-10-06 08:00:00,8.0
46730,2015-10-07 08:00:00,5.0
46730,2015-10-08 08:00:00,7.5
46730,2015-10-09 08:00:00,13.0
46730,2015-10-10 08:00:00,12.0
