id,time,ob
F6054,2015-10-14 08:00:00,12.3
F6054,2015-10-15 08:00:00,11.4
F6054,2015-10-16 08:00:00,15.3
F6054,2015-10-17 08:00:00,16.3
F6054,2015-10-18 08:00:00,16.1
F6054,2015-10-19 08:00:00,15.5
F6054,2015-10-20 08:00:00,11.8
F6054,2015-10-21 08:00:00,15.0
F6054,2015-10-22 08:00:00,15.0
F6054,2015-10-23 08:00:00,11.2
F6054,2015-10-24 08:00:00,11.7
F6054,2015-10-25 08:00:00,13.9
F6054,2015-12-02 08:00:00,2.8
F6054,2015-12-03 08:00:00,15.2
F6054,2015-12-04 08:00:00,16.6
F6054,2015-12-05 08:00:00,16.5
F6054,2015-12-06 08:00:00,16.1
F6054,2015-12-07 08:00:00,14.7
F6054,2015-12-08 08:00:00,16.4
F6054,2015-12-18 08:00:00,14.1
F6054,2015-12-19 08:00:00,16.5
F6054,2015-12-20 08:00:00,10.6
F6054,2015-12-21 08:00:00,12.6
F6054,2015-12-22 08:00:00,9.7
F6054,2015-12-23 08:00:00,5.7
F6054,2015-12-24 08:00:00,7.5
F6054,2015-12-25 08:00:00,12.7
F6054,2015-12-26 08:00:00,12.1
F6054,2015-12-27 08:00:00,13.4
F6054,2015-12-28 08:00:00,16.2
F6054,2016-01-07 08:00:00,13.3
F6054,2016-01-08 08:00:00,11.3
F6054,2016-01-09 08:00:00,13.4
F6054,2016-01-10 08:00:00,11.2
F6054,2016-01-11 08:00:00,11.4
F6054,2016-01-12 08:00:00,13.5
F6054,2016-01-13 08:00:00,11.8
F6054,2016-01-14 08:00:00,11.6
F6054,2016-01-15 08:00:00,10.6
F6054,2016-01-16 08:00:00,12.2
F6054,2016-01-17 08:00:00,8.9
F6054,2016-01-18 08:00:00,11.5
F6054,2016-01-19 08:00:00,15.8
F6054,2016-01-20 08:00:00,18.1
F6054,2016-01-21 08:00:00,12.1
F6054,2016-01-22 08:00:00,14.5
F6054,2016-01-23 08:00:00,17.0
F6054,2016-01-24 08:00:00,15.1
F6054,2016-01-25 08:00:00,14.3
F6054,2016-01-26 08:00:00,13.4
F6054,2016-01-27 08:00:00,12.4
F6054,2016-01-28 08:00:00,6.8
F6054,2016-02-02 08:00:00,15.0
F6054,2016-02-03 08:00:00,12.3
F6054,2016-02-04 08:00:00,11.0
F6054,2016-02-05 08:00:00,12.3
F6054,2016-02-06 08:00:00,13.7
F6054,2016-02-07 08:00:00,12.0
F6054,2016-02-08 08:00:00,7.4
F6054,2016-02-09 08:00:00,7.9
F6054,2016-02-10 08:00:00,7.3
F6054,2016-02-11 08:00:00,5.9
F6054,2016-02-12 08:00:00,5.9
F6054,2016-02-13 08:00:00,2.1
F6054,2016-02-16 08:00:00,11.3
F6054,2016-02-17 08:00:00,11.5
F6054,2016-02-19 08:00:00,6.1
F6054,2016-02-20 08:00:00,13.0
F6054,2016-02-21 08:00:00,15.7
F6054,2016-02-22 08:00:00,10.2
F6054,2016-02-23 08:00:00,15.6
F6054,2016-02-24 08:00:00,15.2
F6054,2016-02-25 08:00:00,16.1
F6054,2016-02-26 08:00:00,15.2
F6054,2016-02-27 08:00:00,8.7
F6054,2016-02-28 08:00:00,8.7
F6054,2016-02-29 08:00:00,18.2
F6054,2016-03-01 08:00:00,13.6
F6054,2016-03-22 08:00:00,10.2
F6054,2016-03-23 08:00:00,13.6
F6054,2016-03-24 08:00:00,17.8
F6054,2016-03-25 08:00:00,12.6
F6054,2016-03-26 08:00:00,11.3
F6054,2016-03-27 08:00:00,9.3
F6054,2016-03-28 08:00:00,11.0
F6054,2016-03-29 08:00:00,7.0
F6054,2016-03-30 08:00:00,6.9
F6054,2016-03-31 08:00:00,5.1
F6054,2016-04-01 08:00:00,7.6
F6054,2016-04-02 08:00:00,5.3
F6054,2016-04-03 08:00:00,8.0
F6054,2016-04-04 08:00:00,7.4
F6054,2016-04-05 08:00:00,6.3
F6054,2016-04-06 08:00:00,2.3
F6054,2016-04-07 08:00:00,7.4
F6054,2016-04-08 08:00:00,5.1
F6054,2016-04-09 08:00:00,6.0
F6054,2016-04-11 08:00:00,13.4
F6054,2016-04-12 08:00:00,8.8
F6054,2016-04-13 08:00:00,13.4
F6054,2016-04-14 08:00:00,9.0
F6054,2016-04-15 08:00:00,12.2
F6054,2016-04-16 08:00:00,3.1
F6054,2017-06-21 08:00:00,7.3
F6054,2017-08-17 08:00:00,6.1
F6054,2017-08-18 08:00:00,4.0
F6054,2017-08-19 08:00:00,6.6
F6054,2017-08-20 08:00:00,5.2
F6054,2017-08-21 08:00:00,7.7
F6054,2017-08-22 08:00:00,13.1
F6054,2017-08-23 08:00:00,12.0
F6054,2017-08-24 08:00:00,5.5
F6054,2017-08-25 08:00:00,3.0
F6054,2017-08-26 08:00:00,9.1
F6054,2017-08-27 08:00:00,8.9
F6054,2017-08-28 08:00:00,4.4
F6054,2017-08-29 08:00:00,8.3
F6054,2017-08-30 08:00:00,11.9
F6054,2017-08-31 08:00:00,12.8
F6054,2017-09-01 08:00:00,14.0
