,time,id,lon,lat,10U,10V,10UV,MSL,3h_Dvalue,6h_Dvalue,9h_Dvalue,12h_Dvalue,max_Dvalue,2_min_wind_force,delta_ec_ob
0,2016-05-01 08:00:00,F6118,117.23200000000001,23.601,1.3409797456300658,1.961528101197796,2.3760932578454708,1.7472413452948103,1.6218335750701272,1.171502472732186,0.5145058423819364,1.8137419616374475,1.8137419616374475,6.9,4.52390674215453
1,2016-05-02 08:00:00,F6118,117.23200000000001,23.601,-1.7705511705581058,-0.25914674140398963,1.789415681485156,1.4260540080053945,1.0919083865672974,0.2084227157707801,0.75,0.055750448458752544,1.0919083865672974,2.4,0.6105843185148438
2,2016-05-03 08:00:00,F6118,117.23200000000001,23.601,1.7201865045290483,1.1673565808780957,2.078885037053099,1.4501031531775652,1.5492113578850422,1.2580415633055964,0.11496338215829385,1.0346307040059628,1.5492113578850422,3.5,1.421114962946901
3,2016-05-04 08:00:00,F6118,117.23200000000001,23.601,2.0611679210237166,0.7014756716964373,2.1772646409288883,1.7071392535060568,2.1940983527327944,1.6326722673120455,0.5283479042740282,1.8622647776624035,2.1940983527327944,5.2,3.022735359071112
4,2016-05-05 08:00:00,F6118,117.23200000000001,23.601,0.3069042625252956,1.4133782974047542,1.4463154697129383,1.6275045734925015,2.185750448458748,2.1541731642296327,0.9384227157706846,1.7057504484590709,2.185750448458748,4.2,2.753684530287062
5,2016-05-06 08:00:00,F6118,117.23200000000001,23.601,1.888278303502847,3.0457308903268414,3.583583626451422,1.2688457740329109,1.479668897662009,1.2026722673118684,0.3030781811470433,0.4280916134327981,1.479668897662009,2.2,-1.3835836264514216
6,2016-05-07 08:00:00,F6118,117.23200000000001,23.601,3.878040035910535,3.392030129864944,5.152190109267764,0.947745072189946,1.1412461818912334,0.5384219920398436,0.7384975272675547,0.05432436303817667,1.1412461818912334,6.9,1.7478098907322366
7,2016-05-08 08:00:00,F6118,117.23200000000001,23.601,-6.365983967791272,-4.4621134772464055,7.774072842596698,2.5136778503976984,2.557434400534703,2.28242096824863,0.7677321839441902,1.7989863960063983,2.557434400534703,12.2,4.425927157403302
8,2016-05-09 08:00:00,F6118,117.23200000000001,23.601,-5.942278014035914,-4.906467936419113,7.7061076820404875,1.9540868572121328,2.0953445346236776,1.9123411649735544,0.4281664249296,1.870915079553356,2.0953445346236776,7.9,0.1938923179595129
9,2016-05-10 08:00:00,F6118,117.23200000000001,23.601,-1.734340754214958,-3.3830374240424415,3.8016943675422703,1.7167569788132369,2.1299251885029657,2.3745058423820637,1.480332678152422,2.9469218188529567,2.9469218188529567,10.4,6.5983056324577305
10,2016-05-11 08:00:00,F6118,117.23200000000001,23.601,-5.622889466422973,-4.545665718013474,7.230488418601705,2.9085081813170746,1.9437672503948988,1.659850377006137,0.41842429158566574,2.1130797569617243,2.1130797569617243,9.8,2.569511581398296
11,2016-05-12 08:00:00,F6118,117.23200000000001,23.601,-5.182366589607955,-3.5889560668427767,6.3037710236660995,2.2249963869378457,1.5314109451528566,0.6513361336560592,1.1304974414139224,0.27183357506999073,1.5314109451528566,10.6,4.2962289763339
12,2016-05-13 08:00:00,F6118,117.23200000000001,23.601,4.476151214999113,-2.330123262782266,5.0463258039188394,3.4082618043370303,1.3741494512865984,0.6570714418470516,1.1640235412356787,1.2474344005349849,1.3741494512865984,9.7,4.65367419608116
13,2016-05-14 08:00:00,F6118,117.23200000000001,23.601,-6.348234099061563,-6.249968339679643,8.908545359568297,2.5939327380756367,1.3531545684586492,1.4004074896497514,0.6537672503944805,1.6252904127933334,1.6252904127933334,9.5,0.5914546404317029
14,2016-05-16 08:00:00,F6118,117.23200000000001,23.601,-6.328122605651584,-4.0845886957834034,7.531865673648206,2.310244628867281,1.0701663390761949,0.34512972123468444,1.085202956917783,0.4277988369178729,1.085202956917783,9.5,1.9681343263517936
15,2016-05-17 08:00:00,F6118,117.23200000000001,23.601,-5.976502592851857,-2.8687883785287074,6.629368748466653,2.1872096926636004,1.5626722673118818,1.2915040485469262,0.0642479757266301,0.22307975696128324,1.5626722673118818,6.8,0.17063125153334724
16,2016-05-18 08:00:00,F6118,117.23200000000001,23.601,-5.122525244674161,-3.184664725096116,6.031778700648393,1.5096225361635334,1.6806890692480465,1.384531131139738,0.1938915846310465,0.44577573721664976,1.6806890692480465,7.4,1.3682212993516076
17,2016-05-19 08:00:00,F6118,117.23200000000001,23.601,-5.635315429623637,-3.1735956380916335,6.467494821448913,2.6328634392973527,1.2030781811466795,0.8074025441851518,0.19348724661108466,0.08043120259230818,1.2030781811466795,9.3,2.832505178551088
18,2016-05-20 08:00:00,F6118,117.23200000000001,23.601,-2.5737810973676374,-2.855720578691803,3.84441011869582,1.8775303115183988,1.1715024727320724,1.1369218188530112,0.16198319806392192,0.5954193461208206,1.1715024727320724,8.6,4.7555898813041795
19,2016-05-21 08:00:00,F6118,117.23200000000001,23.601,-1.88080139972938,-1.508150021496499,2.4107945562747326,1.8734754522737376,1.1626722673120184,0.7641731642296463,0.3143243630382813,0.6822647776623398,1.1626722673120184,5.2,2.7892054437252676
20,2016-05-22 08:00:00,F6118,117.23200000000001,23.601,-3.5882382130458264,-0.044704607267074266,3.5885166817883416,2.136617650587141,1.9315024727320635,2.1303326781526266,0.8830049454645632,2.0999999999996817,2.1303326781526266,7.1,3.511483318211658
21,2016-05-23 08:00:00,F6118,117.23200000000001,23.601,-2.7040987787220425,-2.413157049126033,3.6242898820089855,2.3853325072693683,1.449331933172061,0.9023353028218252,0.2387596802607277,1.2850823816307866,1.449331933172061,5.1,1.4757101179910141
