now_time,predict_time,id,lon,lat,10UV,MSL,ob,10UV_-1,10UV_-2,ob_-1,ob_-2,ob_-3,ob_-4,ob_-5,ob_-6,ob_-7,ob_-8,ob_-9,ob_-10,ob_-11,ob_-12,ob_-13,ob_-14,ob_-15
2016-04-29 08:00:00,2016-05-01 20:00:00,F6038,117.617,23.834,3.0586725148950253,0.9625910690987212,3.2,3.960450092532984,6.157595785882196,5.1,2.4,3.9,4.1,4.1,4.6,2.1,2.8,4.9,4.9,4.6,2.7,3.8,4.6,4.5
2016-04-30 08:00:00,2016-05-02 20:00:00,F6038,117.617,23.834,5.382398945382444,1.8798407630430347,4.0,3.744284254335915,4.498302063978555,4.0,5.1,2.4,3.9,4.1,4.1,4.6,2.1,2.8,4.9,4.9,4.6,2.7,3.8,4.6
2016-05-01 08:00:00,2016-05-03 20:00:00,F6038,117.617,23.834,2.6602754342995842,1.7874330678633896,3.7,5.9843248267463185,3.0368542183386005,4.0,4.0,5.1,2.4,3.9,4.1,4.1,4.6,2.1,2.8,4.9,4.9,4.6,2.7,3.8
2016-05-02 08:00:00,2016-05-04 20:00:00,F6038,117.617,23.834,1.5846245789474749,1.0139036386391354,1.6,3.0578563741693765,6.407948776454343,3.2,4.0,4.0,5.1,2.4,3.9,4.1,4.1,4.6,2.1,2.8,4.9,4.9,4.6,2.7
2016-05-03 08:00:00,2016-05-05 20:00:00,F6038,117.617,23.834,3.3309230766715525,1.583409702633844,3.7,1.508203462547703,5.966236089618895,4.0,3.2,4.0,4.0,5.1,2.4,3.9,4.1,4.1,4.6,2.1,2.8,4.9,4.9,4.6
2016-05-04 08:00:00,2016-05-06 20:00:00,F6038,117.617,23.834,3.4561218784893004,1.1728918943114195,2.4,3.023848496113338,1.5179169072007743,3.7,4.0,3.2,4.0,4.0,5.1,2.4,3.9,4.1,4.1,4.6,2.1,2.8,4.9,4.9
2016-05-05 08:00:00,2016-05-07 20:00:00,F6038,117.617,23.834,2.4324695083790333,1.3316059588462394,2.1,2.893940359004536,3.392352110532048,1.6,3.7,4.0,3.2,4.0,4.0,5.1,2.4,3.9,4.1,4.1,4.6,2.1,2.8,4.9
2016-05-06 08:00:00,2016-05-08 20:00:00,F6038,117.617,23.834,4.10569128852746,1.3395590229924892,1.9,2.5879786550450987,2.831961748589983,3.7,1.6,3.7,4.0,3.2,4.0,4.0,5.1,2.4,3.9,4.1,4.1,4.6,2.1,2.8
2016-05-07 08:00:00,2016-05-09 20:00:00,F6038,117.617,23.834,6.3118126259909015,1.2026030304665485,3.9,3.3655620362410428,2.2493019480465857,2.4,3.7,1.6,3.7,4.0,3.2,4.0,4.0,5.1,2.4,3.9,4.1,4.1,4.6,2.1
2016-05-08 08:00:00,2016-05-10 20:00:00,F6038,117.617,23.834,8.087705978033107,1.838362368418416,6.2,6.459890786104497,1.8415449041490801,2.1,2.4,3.7,1.6,3.7,4.0,3.2,4.0,4.0,5.1,2.4,3.9,4.1,4.1,4.6
2016-05-09 08:00:00,2016-05-11 20:00:00,F6038,117.617,23.834,7.276184083658979,2.175671055513135,4.0,8.480368252565185,5.783988819489252,1.9,2.1,2.4,3.7,1.6,3.7,4.0,3.2,4.0,4.0,5.1,2.4,3.9,4.1,4.1
2016-05-10 08:00:00,2016-05-12 20:00:00,F6038,117.617,23.834,3.754101495992663,1.4764225238039899,4.3,7.476714559535853,10.094412959822897,3.9,1.9,2.1,2.4,3.7,1.6,3.7,4.0,3.2,4.0,4.0,5.1,2.4,3.9,4.1
2016-05-11 08:00:00,2016-05-13 20:00:00,F6038,117.617,23.834,5.980273072000626,2.328266233807881,3.5,4.770308545288531,7.442435991989447,6.2,3.9,1.9,2.1,2.4,3.7,1.6,3.7,4.0,3.2,4.0,4.0,5.1,2.4,3.9
2016-05-12 08:00:00,2016-05-14 20:00:00,F6038,117.617,23.834,4.705535777538622,1.4433728023863068,5.2,6.298150412738299,4.398775708090715,4.0,6.2,3.9,1.9,2.1,2.4,3.7,1.6,3.7,4.0,3.2,4.0,4.0,5.1,2.4
2016-05-13 08:00:00,2016-05-15 20:00:00,F6038,117.617,23.834,4.812597284395245,3.0143000904337214,3.4,4.657959201493041,7.263152834263241,4.3,4.0,6.2,3.9,1.9,2.1,2.4,3.7,1.6,3.7,4.0,3.2,4.0,4.0,5.1
2016-05-14 08:00:00,2016-05-16 20:00:00,F6038,117.617,23.834,8.691511476022345,2.4450604190597005,4.3,5.761152746276959,4.393821500455326,3.5,4.3,4.0,6.2,3.9,1.9,2.1,2.4,3.7,1.6,3.7,4.0,3.2,4.0,4.0
2016-05-16 08:00:00,2016-05-18 20:00:00,F6038,117.617,23.834,6.438073607840932,2.0372723328933944,5.4,7.951588752965616,9.138326512378695,3.4,5.2,3.5,4.3,4.0,6.2,3.9,1.9,2.1,2.4,3.7,1.6,3.7,4.0,3.2
2016-05-17 08:00:00,2016-05-19 20:00:00,F6038,117.617,23.834,5.3377406990282905,1.7095397557205845,4.2,6.176008667565857,7.58645213050463,4.3,3.4,5.2,3.5,4.3,4.0,6.2,3.9,1.9,2.1,2.4,3.7,1.6,3.7,4.0
2016-05-18 08:00:00,2016-05-20 20:00:00,F6038,117.617,23.834,5.105544454189562,1.6660427162048563,3.4,5.6368808682521285,6.337042648155157,6.2,4.3,3.4,5.2,3.5,4.3,4.0,6.2,3.9,1.9,2.1,2.4,3.7,1.6,3.7
2016-05-19 08:00:00,2016-05-21 20:00:00,F6038,117.617,23.834,4.242588574917741,2.1159912821296984,3.5,4.161443577988534,5.5373299309484025,5.4,6.2,4.3,3.4,5.2,3.5,4.3,4.0,6.2,3.9,1.9,2.1,2.4,3.7,1.6
2016-05-20 08:00:00,2016-05-22 20:00:00,F6038,117.617,23.834,3.73403689243372,1.5324142787505934,3.8,4.083646270667494,6.883866107470283,4.2,5.4,6.2,4.3,3.4,5.2,3.5,4.3,4.0,6.2,3.9,1.9,2.1,2.4,3.7
2016-05-21 08:00:00,2016-05-23 20:00:00,F6038,117.617,23.834,2.8232459318107948,1.5036545424370615,3.0,4.444163172603067,6.509885350957291,3.4,4.2,5.4,6.2,4.3,3.4,5.2,3.5,4.3,4.0,6.2,3.9,1.9,2.1,2.4
2016-05-22 08:00:00,2016-05-24 20:00:00,F6038,117.617,23.834,3.3313360669661645,1.3986737992044027,4.5,5.19038776729048,7.4104946745131315,3.5,3.4,4.2,5.4,6.2,4.3,3.4,5.2,3.5,4.3,4.0,6.2,3.9,1.9,2.1
2016-05-23 08:00:00,2016-05-25 20:00:00,F6038,117.617,23.834,2.873366341137184,1.3637525426377124,2.3,3.598473941427194,4.278304291203235,3.8,3.5,3.4,4.2,5.4,6.2,4.3,3.4,5.2,3.5,4.3,4.0,6.2,3.9,1.9
2016-05-24 08:00:00,2016-05-26 20:00:00,F6038,117.617,23.834,3.2425615441457816,2.1093303260479392,2.5,4.279842364023806,4.789724105472027,3.0,3.8,3.5,3.4,4.2,5.4,6.2,4.3,3.4,5.2,3.5,4.3,4.0,6.2,3.9
2016-05-25 08:00:00,2016-05-27 20:00:00,F6038,117.617,23.834,3.196456957165584,1.2737106776219207,4.3,2.658966686560412,5.060441142160059,4.5,3.0,3.8,3.5,3.4,4.2,5.4,6.2,4.3,3.4,5.2,3.5,4.3,4.0,6.2
2016-05-26 08:00:00,2016-05-28 20:00:00,F6038,117.617,23.834,5.297714478800118,1.6715439666228349,4.7,5.428076531721526,3.0754941831662435,2.3,4.5,3.0,3.8,3.5,3.4,4.2,5.4,6.2,4.3,3.4,5.2,3.5,4.3,4.0
