now_time,predict_time,id,lon,lat,10UV,MSL,ob,10UV_-1,10UV_-2,ob_-1,ob_-2,ob_-3,ob_-4,ob_-5,ob_-6,ob_-7,ob_-8,ob_-9,ob_-10,ob_-11,ob_-12,ob_-13,ob_-14,ob_-15
2016-03-18 08:00:00,2016-03-20 20:00:00,F6031,118.113,24.331,7.867861597658251,1.4035481806354255,3.2,7.266158025465022,3.636026812195606,1.2,1.3,3.1,2.0,2.1,1.4,3.6,2.7,2.8,1.4,1.1,1.5,1.4,1.0,1.9
2016-03-19 08:00:00,2016-03-21 20:00:00,F6031,118.113,24.331,6.0909278003407055,0.9387866028806684,1.6,8.047174915399774,6.834565383633809,2.0,1.2,1.3,3.1,2.0,2.1,1.4,3.6,2.7,2.8,1.4,1.1,1.5,1.4,1.0
2016-03-20 08:00:00,2016-03-22 20:00:00,F6031,118.113,24.331,2.2705483888344618,0.8106927755763991,1.0,6.672766675260532,8.446340188911941,1.4,2.0,1.2,1.3,3.1,2.0,2.1,1.4,3.6,2.7,2.8,1.4,1.1,1.5,1.4
2016-03-21 08:00:00,2016-03-23 20:00:00,F6031,118.113,24.331,11.81440967196077,3.2584871318809974,2.5,3.9056837219766174,6.1786643897368005,3.2,1.4,2.0,1.2,1.3,3.1,2.0,2.1,1.4,3.6,2.7,2.8,1.4,1.1,1.5
2016-03-22 08:00:00,2016-03-24 20:00:00,F6031,118.113,24.331,9.937504810013094,2.823588138821492,3.0,10.885247476923707,4.565563288855119,1.6,3.2,1.4,2.0,1.2,1.3,3.1,2.0,2.1,1.4,3.6,2.7,2.8,1.4,1.1
2016-03-23 08:00:00,2016-03-25 20:00:00,F6031,118.113,24.331,8.081024547017629,2.3038968350292635,2.7,9.317103321181913,11.523536641110717,1.0,1.6,3.2,1.4,2.0,1.2,1.3,3.1,2.0,2.1,1.4,3.6,2.7,2.8,1.4
2016-03-24 08:00:00,2016-03-26 20:00:00,F6031,118.113,24.331,7.438512003611348,1.4914827091054117,1.6,8.4034587167708,9.198107008470444,2.5,1.0,1.6,3.2,1.4,2.0,1.2,1.3,3.1,2.0,2.1,1.4,3.6,2.7,2.8
2016-03-25 08:00:00,2016-03-27 20:00:00,F6031,118.113,24.331,6.951146068903334,2.104812623801536,1.7,5.450551132601483,7.6467513468823265,3.0,2.5,1.0,1.6,3.2,1.4,2.0,1.2,1.3,3.1,2.0,2.1,1.4,3.6,2.7
2016-03-26 08:00:00,2016-03-28 20:00:00,F6031,118.113,24.331,4.302950612708609,0.6437530642133424,1.5,7.2193996224927055,5.286162599610515,2.7,3.0,2.5,1.0,1.6,3.2,1.4,2.0,1.2,1.3,3.1,2.0,2.1,1.4,3.6
2016-03-27 08:00:00,2016-03-29 20:00:00,F6031,118.113,24.331,2.172991705472324,0.4823893232490946,0.9,3.5690176131138966,5.659083306581278,1.6,2.7,3.0,2.5,1.0,1.6,3.2,1.4,2.0,1.2,1.3,3.1,2.0,2.1,1.4
2016-03-28 08:00:00,2016-03-30 20:00:00,F6031,118.113,24.331,2.088954042582174,0.6205505163984526,1.5,2.289158872328729,3.804654093653143,1.7,1.6,2.7,3.0,2.5,1.0,1.6,3.2,1.4,2.0,1.2,1.3,3.1,2.0,2.1
2016-03-29 08:00:00,2016-03-31 20:00:00,F6031,118.113,24.331,2.0657298350707327,0.8345528902201522,1.2,1.7881801987608583,1.577634988648161,1.5,1.7,1.6,2.7,3.0,2.5,1.0,1.6,3.2,1.4,2.0,1.2,1.3,3.1,2.0
2016-03-30 08:00:00,2016-04-01 20:00:00,F6031,118.113,24.331,1.6817997290672055,0.6801557183160867,1.4,2.0289498564580315,2.7963617480835,0.9,1.5,1.7,1.6,2.7,3.0,2.5,1.0,1.6,3.2,1.4,2.0,1.2,1.3,3.1
2016-03-31 08:00:00,2016-04-02 20:00:00,F6031,118.113,24.331,2.398571724018041,1.0001158638428933,1.1,1.8067006064935889,3.4251581371425672,1.5,0.9,1.5,1.7,1.6,2.7,3.0,2.5,1.0,1.6,3.2,1.4,2.0,1.2,1.3
2016-04-01 08:00:00,2016-04-03 20:00:00,F6031,118.113,24.331,4.425561153234527,0.4587209812381161,1.0,4.78755626264532,2.01321858896882,1.2,1.5,0.9,1.5,1.7,1.6,2.7,3.0,2.5,1.0,1.6,3.2,1.4,2.0,1.2
2016-04-02 08:00:00,2016-04-04 20:00:00,F6031,118.113,24.331,3.8503515104345287,0.7461819658500417,0.9,5.016668958060062,3.1961344415663127,1.4,1.2,1.5,0.9,1.5,1.7,1.6,2.7,3.0,2.5,1.0,1.6,3.2,1.4,2.0
2016-04-03 08:00:00,2016-04-05 20:00:00,F6031,118.113,24.331,2.3202960438381885,0.7122273326049253,2.0,4.058598588464348,4.884009000622049,1.1,1.4,1.2,1.5,0.9,1.5,1.7,1.6,2.7,3.0,2.5,1.0,1.6,3.2,1.4
2016-04-04 08:00:00,2016-04-06 20:00:00,F6031,118.113,24.331,4.296634370642165,0.6338763013488915,1.2,1.5223707091842211,4.184135459065016,1.0,1.1,1.4,1.2,1.5,0.9,1.5,1.7,1.6,2.7,3.0,2.5,1.0,1.6,3.2
2016-04-05 08:00:00,2016-04-07 20:00:00,F6031,118.113,24.331,5.288575217381756,0.4537003821047847,1.6,4.2339471112727365,1.124672801446044,0.9,1.0,1.1,1.4,1.2,1.5,0.9,1.5,1.7,1.6,2.7,3.0,2.5,1.0,1.6
2016-04-06 08:00:00,2016-04-08 20:00:00,F6031,118.113,24.331,3.99795983505323,0.4875274517239632,2.2,5.087640775604865,3.3033897774287486,2.0,0.9,1.0,1.1,1.4,1.2,1.5,0.9,1.5,1.7,1.6,2.7,3.0,2.5,1.0
2016-04-07 08:00:00,2016-04-09 20:00:00,F6031,118.113,24.331,2.0706285430418707,0.558935911743788,1.5,4.706679733944298,5.788006939680103,1.2,2.0,0.9,1.0,1.1,1.4,1.2,1.5,0.9,1.5,1.7,1.6,2.7,3.0,2.5
2016-04-08 08:00:00,2016-04-10 20:00:00,F6031,118.113,24.331,6.151007812810441,1.5359924591308527,1.3,2.798175884769732,5.953720719872162,1.6,1.2,2.0,0.9,1.0,1.1,1.4,1.2,1.5,0.9,1.5,1.7,1.6,2.7,3.0
2016-04-09 08:00:00,2016-04-11 20:00:00,F6031,118.113,24.331,5.114460794992001,1.227557716598881,0.7,7.859102657068387,3.9487436567021335,2.2,1.6,1.2,2.0,0.9,1.0,1.1,1.4,1.2,1.5,0.9,1.5,1.7,1.6,2.7
2016-04-10 08:00:00,2016-04-12 20:00:00,F6031,118.113,24.331,3.109526295797987,0.7341024024201488,1.1,5.727687152461884,7.187839476337272,1.5,2.2,1.6,1.2,2.0,0.9,1.0,1.1,1.4,1.2,1.5,0.9,1.5,1.7,1.6
2016-04-11 08:00:00,2016-04-13 20:00:00,F6031,118.113,24.331,4.803189718478575,2.0944240489324097,1.3,1.8749102303095144,5.194297963402144,1.3,1.5,2.2,1.6,1.2,2.0,0.9,1.0,1.1,1.4,1.2,1.5,0.9,1.5,1.7
2016-04-12 08:00:00,2016-04-14 20:00:00,F6031,118.113,24.331,5.453090555525699,1.6434930306243132,2.8,5.218501480285957,2.5562926895965337,0.7,1.3,1.5,2.2,1.6,1.2,2.0,0.9,1.0,1.1,1.4,1.2,1.5,0.9,1.5
2016-04-13 08:00:00,2016-04-15 20:00:00,F6031,118.113,24.331,3.324155804165932,0.7001226912537959,1.2,6.929095662611622,5.100048584714272,1.1,0.7,1.3,1.5,2.2,1.6,1.2,2.0,0.9,1.0,1.1,1.4,1.2,1.5,0.9
2016-04-14 08:00:00,2016-04-16 20:00:00,F6031,118.113,24.331,5.547981908667408,1.7737798002934824,0.8,3.231180023915239,7.322591564879824,1.3,1.1,0.7,1.3,1.5,2.2,1.6,1.2,2.0,0.9,1.0,1.1,1.4,1.2,1.5
2016-04-15 08:00:00,2016-04-17 20:00:00,F6031,118.113,24.331,3.833396139270488,2.362799666141313,5.9,5.212465055493831,3.1406659631159015,2.8,1.3,1.1,0.7,1.3,1.5,2.2,1.6,1.2,2.0,0.9,1.0,1.1,1.4,1.2
2016-04-16 08:00:00,2016-04-18 20:00:00,F6031,118.113,24.331,8.004395707102821,1.601158359411329,2.0,5.106429831799342,3.3089291787598483,1.2,2.8,1.3,1.1,0.7,1.3,1.5,2.2,1.6,1.2,2.0,0.9,1.0,1.1,1.4
2016-04-17 08:00:00,2016-04-19 20:00:00,F6031,118.113,24.331,4.632120999801216,0.9290267477250608,2.2,7.830173561444196,3.9703657981485243,0.8,1.2,2.8,1.3,1.1,0.7,1.3,1.5,2.2,1.6,1.2,2.0,0.9,1.0,1.1
2016-04-18 08:00:00,2016-04-20 20:00:00,F6031,118.113,24.331,3.1130627443756063,1.1935044717098435,1.1,4.3728424839497215,7.960954960981736,5.9,0.8,1.2,2.8,1.3,1.1,0.7,1.3,1.5,2.2,1.6,1.2,2.0,0.9,1.0
2016-04-19 08:00:00,2016-04-21 20:00:00,F6031,118.113,24.331,6.137576999583282,0.5100987385574172,1.1,2.4149740578898777,4.200806104297215,2.0,5.9,0.8,1.2,2.8,1.3,1.1,0.7,1.3,1.5,2.2,1.6,1.2,2.0,0.9
2016-04-20 08:00:00,2016-04-22 20:00:00,F6031,118.113,24.331,5.51421404745901,0.4902746578011374,1.9,4.606817539665473,2.4975803226076043,2.2,2.0,5.9,0.8,1.2,2.8,1.3,1.1,0.7,1.3,1.5,2.2,1.6,1.2,2.0
2016-04-22 08:00:00,2016-04-24 20:00:00,F6031,118.113,24.331,4.519874906031921,1.3302441449544629,1.7,5.799974617343057,5.150170987670525,1.1,1.1,2.2,2.0,5.9,0.8,1.2,2.8,1.3,1.1,0.7,1.3,1.5,2.2,1.6
