predict_time,MSL,ob,10UV,ob_p
2016-03-01 20:00:00,1.6171738729351546,14.0,9.739382369414216,12.853481
2016-03-02 20:00:00,0.6254100661698203,9.7,4.059827617286194,11.167696
2016-03-03 20:00:00,0.8702603945858982,4.3,3.782171744104308,8.605047
2016-03-04 20:00:00,0.8407817160497189,3.7,3.477453196689505,8.490846
2016-03-05 20:00:00,0.7202987130264091,2.4,2.0737396616595505,8.186562
2016-03-06 20:00:00,0.4478313747736138,7.1,7.422635021969032,7.830397
2016-03-07 20:00:00,0.435476957300466,6.3,3.3437631005595327,8.772955
2016-03-08 20:00:00,0.9113954387090644,3.7,2.6721417341796574,6.6816897
2016-03-09 20:00:00,2.93256609207424,14.3,12.794991842456415,6.9841695
2016-03-10 20:00:00,3.0428436077255583,14.1,13.368757947990275,12.954226
2016-03-11 20:00:00,2.8269289211330038,14.1,9.838003680277408,12.73217
2016-03-12 20:00:00,1.4464087080028776,9.6,7.559308842559929,11.007788
2016-03-13 20:00:00,2.3001329601776206,12.9,11.112696986890128,9.2105465
2016-03-14 20:00:00,2.546909870043578,12.1,11.902971933557405,11.934837
2016-03-15 20:00:00,1.1794176308274018,11.6,8.98876638819702,12.858864
2016-03-16 20:00:00,0.8534193463092379,7.6,6.968492663237339,9.441736
2016-03-17 20:00:00,0.7561646338939454,7.6,2.7997642404082943,9.142986
2016-03-18 20:00:00,0.4670961206687707,7.2,5.244069030110476,7.967716
2016-03-19 20:00:00,1.3150717787069652,8.9,9.803231584565694,7.6725802
2016-03-20 20:00:00,1.875607342271792,12.7,10.413935216956196,10.685194
2016-03-21 20:00:00,1.8683377837713808,9.3,10.484062420756203,11.508345
2016-03-22 20:00:00,1.0696506108694166,8.9,6.040437633005962,10.458519
2016-03-23 20:00:00,3.0793568547902623,16.3,14.135402313682256,8.981571
2016-03-24 20:00:00,2.4083335010217297,14.6,12.486283247101133,13.4097805
2016-03-25 20:00:00,2.715308357717049,13.2,10.734757908999562,12.676172
2016-03-26 20:00:00,1.1795906829270282,8.4,7.562186115318358,10.06015
2016-03-27 20:00:00,2.2243499609728588,8.9,8.567767691055911,9.086941
2016-03-28 20:00:00,1.3463364942356293,6.9,6.675753776832732,9.794537
2016-03-29 20:00:00,0.2971967130434905,5.1,2.030565808851112,8.7976265
2016-03-30 20:00:00,0.4848383106626671,6.0,1.424765604253657,8.092203
2016-03-31 20:00:00,0.7035656082533706,8.1,2.3659060769238396,8.233229
2016-04-01 20:00:00,0.5113358929536389,3.6,3.5552055868153567,7.9640474
2016-04-02 20:00:00,0.7528159196575643,3.9,4.633590491123334,7.749041
2016-04-03 20:00:00,0.4697193843314835,4.8,5.893612453965972,7.8092365
2016-04-04 20:00:00,0.8039353343925768,7.9,5.262896949966197,8.386166
