now_time,predict_time,id,lon,lat,10UV,MSL,ob,10UV_-1,ob_-1,ob_-2,ob_-3,ob_-4,ob_-5,ob_-6,ob_-7,ob_-8,ob_-9,ob_-10,ob_-11,ob_-12,ob_-13,ob_-14,ob_-15
2016-02-29 08:00:00,2016-03-01 20:00:00,F6040,117.583,23.717,9.79783743011443,1.2849115885987883,8.9,12.766077826789804,3.3,2.2,5.7,6.5,7.2,8.2,7.6,5.8,7.6,3.1,4.1,4.6,3.9,7.9,6.4
2016-03-01 08:00:00,2016-03-02 20:00:00,F6040,117.583,23.717,4.346331067279073,0.5269871835131426,4.5,10.032895542128973,8.9,3.3,2.2,5.7,6.5,7.2,8.2,7.6,5.8,7.6,3.1,4.1,4.6,3.9,7.9
2016-03-02 08:00:00,2016-03-03 20:00:00,F6040,117.583,23.717,3.862940088239137,0.8466763516213405,3.1,4.716450455589512,8.9,8.9,3.3,2.2,5.7,6.5,7.2,8.2,7.6,5.8,7.6,3.1,4.1,4.6,3.9
2016-03-03 08:00:00,2016-03-04 20:00:00,F6040,117.583,23.717,3.668531011825917,0.8239067814032524,6.0,3.6289688367438897,4.5,8.9,8.9,3.3,2.2,5.7,6.5,7.2,8.2,7.6,5.8,7.6,3.1,4.1,4.6
2016-03-04 08:00:00,2016-03-05 20:00:00,F6040,117.583,23.717,1.982954330346732,0.9156373811277944,2.4,3.7857531476115502,3.1,4.5,8.9,8.9,3.3,2.2,5.7,6.5,7.2,8.2,7.6,5.8,7.6,3.1,4.1
2016-03-05 08:00:00,2016-03-06 20:00:00,F6040,117.583,23.717,7.548393203652028,0.4845870885114891,4.7,3.3222669371731173,6.0,3.1,4.5,8.9,8.9,3.3,2.2,5.7,6.5,7.2,8.2,7.6,5.8,7.6,3.1
2016-03-06 08:00:00,2016-03-07 20:00:00,F6040,117.583,23.717,3.670910014690312,0.4170440235445767,4.6,7.0266349221431215,2.4,6.0,3.1,4.5,8.9,8.9,3.3,2.2,5.7,6.5,7.2,8.2,7.6,5.8,7.6
2016-03-07 08:00:00,2016-03-08 20:00:00,F6040,117.583,23.717,2.462133454246463,0.8981598219139642,3.4,3.5378446721291987,4.7,2.4,6.0,3.1,4.5,8.9,8.9,3.3,2.2,5.7,6.5,7.2,8.2,7.6,5.8
2016-03-08 08:00:00,2016-03-09 20:00:00,F6040,117.583,23.717,12.939413759395892,2.9575391516231093,9.4,3.514584383582114,4.6,4.7,2.4,6.0,3.1,4.5,8.9,8.9,3.3,2.2,5.7,6.5,7.2,8.2,7.6
2016-03-09 08:00:00,2016-03-10 20:00:00,F6040,117.583,23.717,12.797794638338926,2.8069373824896497,8.2,12.969343669672506,3.4,4.6,4.7,2.4,6.0,3.1,4.5,8.9,8.9,3.3,2.2,5.7,6.5,7.2,8.2
2016-03-10 08:00:00,2016-03-11 20:00:00,F6040,117.583,23.717,9.707670125701494,2.836225931249486,6.1,13.325310483129062,9.4,3.4,4.6,4.7,2.4,6.0,3.1,4.5,8.9,8.9,3.3,2.2,5.7,6.5,7.2
2016-03-11 08:00:00,2016-03-12 20:00:00,F6040,117.583,23.717,7.703140767485577,1.4765840797964531,7.2,10.628265856391307,8.2,9.4,3.4,4.6,4.7,2.4,6.0,3.1,4.5,8.9,8.9,3.3,2.2,5.7,6.5
2016-03-12 08:00:00,2016-03-13 20:00:00,F6040,117.583,23.717,10.88750473970878,2.474417279794352,7.5,8.325404850612413,6.1,8.2,9.4,3.4,4.6,4.7,2.4,6.0,3.1,4.5,8.9,8.9,3.3,2.2,5.7
2016-03-13 08:00:00,2016-03-14 20:00:00,F6040,117.583,23.717,11.634905306778489,2.394705229434294,7.2,11.703809359485698,7.2,6.1,8.2,9.4,3.4,4.6,4.7,2.4,6.0,3.1,4.5,8.9,8.9,3.3,2.2
2016-03-14 08:00:00,2016-03-15 20:00:00,F6040,117.583,23.717,9.057207403803185,1.147168038139739,8.0,12.12256448071753,7.5,7.2,6.1,8.2,9.4,3.4,4.6,4.7,2.4,6.0,3.1,4.5,8.9,8.9,3.3
2016-03-15 08:00:00,2016-03-16 20:00:00,F6040,117.583,23.717,7.150538867322117,0.9224340594219028,5.4,8.489498512488725,7.2,7.5,7.2,6.1,8.2,9.4,3.4,4.6,4.7,2.4,6.0,3.1,4.5,8.9,8.9
2016-03-16 08:00:00,2016-03-17 20:00:00,F6040,117.583,23.717,3.0449376447848886,0.6314178831231629,5.7,7.963665423166829,8.0,7.2,7.5,7.2,6.1,8.2,9.4,3.4,4.6,4.7,2.4,6.0,3.1,4.5,8.9
2016-03-17 08:00:00,2016-03-18 20:00:00,F6040,117.583,23.717,4.8841589387679605,0.7555123526205989,3.3,2.9902382430718624,5.4,8.0,7.2,7.5,7.2,6.1,8.2,9.4,3.4,4.6,4.7,2.4,6.0,3.1,4.5
2016-03-18 08:00:00,2016-03-19 20:00:00,F6040,117.583,23.717,9.814270560810161,1.4650252686615204,5.6,3.8636243557290393,5.7,5.4,8.0,7.2,7.5,7.2,6.1,8.2,9.4,3.4,4.6,4.7,2.4,6.0,3.1
2016-03-19 08:00:00,2016-03-20 20:00:00,F6040,117.583,23.717,10.52730267543283,1.8238747971764724,6.6,9.498001667765413,3.3,5.7,5.4,8.0,7.2,7.5,7.2,6.1,8.2,9.4,3.4,4.6,4.7,2.4,6.0
2016-03-20 08:00:00,2016-03-21 20:00:00,F6040,117.583,23.717,10.492966829518856,1.9166311168567065,4.7,10.412151723085435,5.6,3.3,5.7,5.4,8.0,7.2,7.5,7.2,6.1,8.2,9.4,3.4,4.6,4.7,2.4
2016-03-21 08:00:00,2016-03-22 20:00:00,F6040,117.583,23.717,6.395040833990217,1.0971489814072584,7.2,9.361543160740426,6.6,5.6,3.3,5.7,5.4,8.0,7.2,7.5,7.2,6.1,8.2,9.4,3.4,4.6,4.7
2016-03-22 08:00:00,2016-03-23 20:00:00,F6040,117.583,23.717,13.765209235376465,3.045403087537806,8.7,7.174732684719106,4.7,6.6,5.6,3.3,5.7,5.4,8.0,7.2,7.5,7.2,6.1,8.2,9.4,3.4,4.6
2016-03-23 08:00:00,2016-03-24 20:00:00,F6040,117.583,23.717,11.893088775346081,2.2858471413608186,7.7,13.727342950043285,7.2,4.7,6.6,5.6,3.3,5.7,5.4,8.0,7.2,7.5,7.2,6.1,8.2,9.4,3.4
2016-03-24 08:00:00,2016-03-25 20:00:00,F6040,117.583,23.717,10.518045161402851,2.6158241170078327,6.1,11.683021137694867,8.7,7.2,4.7,6.6,5.6,3.3,5.7,5.4,8.0,7.2,7.5,7.2,6.1,8.2,9.4
2016-03-25 08:00:00,2016-03-26 20:00:00,F6040,117.583,23.717,7.574149006397861,1.2304128667494751,4.1,9.400552690284515,7.7,8.7,7.2,4.7,6.6,5.6,3.3,5.7,5.4,8.0,7.2,7.5,7.2,6.1,8.2
2016-03-26 08:00:00,2016-03-27 20:00:00,F6040,117.583,23.717,8.824813926196803,2.2694373762187747,3.6,7.171207364715003,6.1,7.7,8.7,7.2,4.7,6.6,5.6,3.3,5.7,5.4,8.0,7.2,7.5,7.2,6.1
2016-03-27 08:00:00,2016-03-28 20:00:00,F6040,117.583,23.717,6.893896150978232,1.4922272256405904,4.1,9.025266850397433,4.1,6.1,7.7,8.7,7.2,4.7,6.6,5.6,3.3,5.7,5.4,8.0,7.2,7.5,7.2
2016-03-28 08:00:00,2016-03-29 20:00:00,F6040,117.583,23.717,2.2546580612137674,0.4146309903051133,2.2,6.613924521778265,3.6,4.1,6.1,7.7,8.7,7.2,4.7,6.6,5.6,3.3,5.7,5.4,8.0,7.2,7.5
2016-03-29 08:00:00,2016-03-30 20:00:00,F6040,117.583,23.717,1.692293292255137,0.8896446240507885,7.2,3.557034477499875,4.1,3.6,4.1,6.1,7.7,8.7,7.2,4.7,6.6,5.6,3.3,5.7,5.4,8.0,7.2
2016-03-30 08:00:00,2016-03-31 20:00:00,F6040,117.583,23.717,2.41978905888285,0.8097244398621797,7.4,4.917287918491919,2.2,4.1,3.6,4.1,6.1,7.7,8.7,7.2,4.7,6.6,5.6,3.3,5.7,5.4,8.0
