now_time,predict_time,id,lon,lat,10UV,MSL,ob,10UV_-1,10UV_-2,ob_-1,ob_-2,ob_-3,ob_-4,ob_-5,ob_-6,ob_-7,ob_-8,ob_-9,ob_-10,ob_-11,ob_-12,ob_-13,ob_-14,ob_-15
2015-07-20 08:00:00,2015-07-22 20:00:00,59129,117.6,24.133000000000006,2.5650550402953303,0.6910995591413212,3.8,3.8494053542161577,5.191245877996919,4.5,2.8,3.7,3.0,2.6,2.4,2.9,2.9,2.7,3.6,2.4,7.0,4.1,2.1,3.1
2015-07-21 08:00:00,2015-07-23 20:00:00,59129,117.6,24.133000000000006,2.402471459499856,0.5200458214350192,1.8,2.333252652224978,4.394451163578093,9.0,4.5,2.8,3.7,3.0,2.6,2.4,2.9,2.9,2.7,3.6,2.4,7.0,4.1,2.1
2015-07-22 08:00:00,2015-07-24 20:00:00,59129,117.6,24.133000000000006,2.034668976463615,0.1284937198308853,2.5,3.239204065998895,2.6069336671263823,4.2,9.0,4.5,2.8,3.7,3.0,2.6,2.4,2.9,2.9,2.7,3.6,2.4,7.0,4.1
2015-07-23 08:00:00,2015-07-25 20:00:00,59129,117.6,24.133000000000006,2.620830040721148,0.9231467954411984,1.3,3.0404982653341412,3.3034854015932087,3.8,4.2,9.0,4.5,2.8,3.7,3.0,2.6,2.4,2.9,2.9,2.7,3.6,2.4,7.0
2015-07-24 08:00:00,2015-07-26 20:00:00,59129,117.6,24.133000000000006,2.196256943600104,0.8340624241870955,1.2,2.819208030205841,3.1182002439022143,1.8,3.8,4.2,9.0,4.5,2.8,3.7,3.0,2.6,2.4,2.9,2.9,2.7,3.6,2.4
2015-07-25 08:00:00,2015-07-27 20:00:00,59129,117.6,24.133000000000006,1.270747940305743,1.4057526347517069,2.2,2.158148313308985,2.1059235122711266,2.5,1.8,3.8,4.2,9.0,4.5,2.8,3.7,3.0,2.6,2.4,2.9,2.9,2.7,3.6
2015-07-26 08:00:00,2015-07-28 20:00:00,59129,117.6,24.133000000000006,1.4453953627709084,1.0473431874917196,2.6,2.0389131467979573,1.3783266300730228,1.3,2.5,1.8,3.8,4.2,9.0,4.5,2.8,3.7,3.0,2.6,2.4,2.9,2.9,2.7
2015-07-27 08:00:00,2015-07-29 20:00:00,59129,117.6,24.133000000000006,1.523010903574232,1.4463279009211192,3.6,1.664718888538041,1.6724988360205086,1.2,1.3,2.5,1.8,3.8,4.2,9.0,4.5,2.8,3.7,3.0,2.6,2.4,2.9,2.9
2015-07-28 08:00:00,2015-07-30 20:00:00,59129,117.6,24.133000000000006,1.4984498257183143,1.5637007062848625,1.7,1.4099256231991486,1.3071032605207002,2.2,1.2,1.3,2.5,1.8,3.8,4.2,9.0,4.5,2.8,3.7,3.0,2.6,2.4,2.9
2015-07-29 08:00:00,2015-07-31 20:00:00,59129,117.6,24.133000000000006,1.4960119698176542,1.7300842725710481,1.5,1.5482235159326283,1.4986168683328849,2.6,2.2,1.2,1.3,2.5,1.8,3.8,4.2,9.0,4.5,2.8,3.7,3.0,2.6,2.4
2015-08-30 08:00:00,2015-09-01 20:00:00,59129,117.6,24.133000000000006,0.9264566923191012,1.7227253975224812,1.6,1.3711100381833392,1.3021460110583798,2.0,2.0,2.2,1.7,1.8,2.7,2.6,2.4,2.5,2.1,3.1,1.4,1.4,3.2,1.9
2015-08-31 08:00:00,2015-09-02 20:00:00,59129,117.6,24.133000000000006,0.8023004091204372,1.4900842725711527,1.9,0.8842337316454562,1.1809336857183408,1.7,2.0,2.0,2.2,1.7,1.8,2.7,2.6,2.4,2.5,2.1,3.1,1.4,1.4,3.2
2015-09-01 08:00:00,2015-09-03 20:00:00,59129,117.6,24.133000000000006,1.3364758956338356,1.7716748253110381,1.7,0.8158477140596604,0.5752552133272724,1.5,1.7,2.0,2.0,2.2,1.7,1.8,2.7,2.6,2.4,2.5,2.1,3.1,1.4,1.4
2015-09-03 08:00:00,2015-09-05 20:00:00,59129,117.6,24.133000000000006,2.0913761722864006,1.910287127751872,1.6,1.2586971808637069,1.2695043824198389,1.9,1.6,1.5,1.7,2.0,2.0,2.2,1.7,1.8,2.7,2.6,2.4,2.5,2.1,3.1
2015-09-04 08:00:00,2015-09-06 20:00:00,59129,117.6,24.133000000000006,2.0442361509311024,1.7615711338509072,1.9,1.8524730063732,1.3375168025861992,1.7,1.9,1.6,1.5,1.7,2.0,2.0,2.2,1.7,1.8,2.7,2.6,2.4,2.5,2.1
2015-09-05 08:00:00,2015-09-07 20:00:00,59129,117.6,24.133000000000006,1.7495606047951169,2.681161330569012,2.1,1.850856833582119,1.713554037073836,2.5,1.7,1.9,1.6,1.5,1.7,2.0,2.0,2.2,1.7,1.8,2.7,2.6,2.4,2.5
2015-09-06 08:00:00,2015-09-08 20:00:00,59129,117.6,24.133000000000006,2.3344106145454915,2.8080761147657536,2.0,2.034447846188095,2.0768963800794955,1.6,2.5,1.7,1.9,1.6,1.5,1.7,2.0,2.0,2.2,1.7,1.8,2.7,2.6,2.4
2015-09-07 08:00:00,2015-09-09 20:00:00,59129,117.6,24.133000000000006,2.2956472018728618,2.447012962375993,2.4,2.7960321653097084,2.4401968754278127,1.9,1.6,2.5,1.7,1.9,1.6,1.5,1.7,2.0,2.0,2.2,1.7,1.8,2.7,2.6
2015-09-08 08:00:00,2015-09-10 20:00:00,59129,117.6,24.133000000000006,1.749153902190915,1.965404973608997,2.2,2.5587793105426653,2.8727466992439865,2.1,1.9,1.6,2.5,1.7,1.9,1.6,1.5,1.7,2.0,2.0,2.2,1.7,1.8,2.7
2015-09-09 08:00:00,2015-09-11 20:00:00,59129,117.6,24.133000000000006,1.235277071365529,1.8842507099378736,2.2,1.6236082914462546,2.197607338593325,2.0,2.1,1.9,1.6,2.5,1.7,1.9,1.6,1.5,1.7,2.0,2.0,2.2,1.7,1.8
2015-09-10 08:00:00,2015-09-12 20:00:00,59129,117.6,24.133000000000006,3.3105719325091467,3.051852430504141,1.7,1.5944438960380938,1.891952705902888,2.4,2.0,2.1,1.9,1.6,2.5,1.7,1.9,1.6,1.5,1.7,2.0,2.0,2.2,1.7
2015-09-11 08:00:00,2015-09-13 20:00:00,59129,117.6,24.133000000000006,3.144435645376056,3.767067218740976,3.4,2.987821017981377,1.6491995869082057,2.2,2.4,2.0,2.1,1.9,1.6,2.5,1.7,1.9,1.6,1.5,1.7,2.0,2.0,2.2
2015-09-12 08:00:00,2015-09-14 20:00:00,59129,117.6,24.133000000000006,2.370177598501801,2.8048988917699944,2.2,3.0363068185884523,3.7063444533948338,2.2,2.2,2.4,2.0,2.1,1.9,1.6,2.5,1.7,1.9,1.6,1.5,1.7,2.0,2.0
2015-09-14 08:00:00,2015-09-16 20:00:00,59129,117.6,24.133000000000006,2.9727670735656706,2.963280568450841,3.1,2.234413042206328,2.8714417495789046,3.4,1.7,2.2,2.2,2.4,2.0,2.1,1.9,1.6,2.5,1.7,1.9,1.6,1.5,1.7
2015-09-15 08:00:00,2015-09-17 20:00:00,59129,117.6,24.133000000000006,2.052146537602087,2.324849802680319,2.2,2.773612512040427,2.913871680906544,2.2,3.4,1.7,2.2,2.2,2.4,2.0,2.1,1.9,1.6,2.5,1.7,1.9,1.6,1.5
2015-09-16 08:00:00,2015-09-18 20:00:00,59129,117.6,24.133000000000006,1.8760833127023482,1.6005183160131082,1.7,2.15491808086528,2.7155054099565787,2.2,2.2,3.4,1.7,2.2,2.2,2.4,2.0,2.1,1.9,1.6,2.5,1.7,1.9,1.6
2015-09-17 08:00:00,2015-09-19 20:00:00,59129,117.6,24.133000000000006,1.3941693991414796,1.881068319665815,2.6,1.6809229352789106,2.134952118713912,3.1,2.2,2.2,3.4,1.7,2.2,2.2,2.4,2.0,2.1,1.9,1.6,2.5,1.7,1.9
2015-09-18 08:00:00,2015-09-20 20:00:00,59129,117.6,24.133000000000006,2.053176834957999,2.3211174087555264,2.5,1.7566531999432462,1.499570349305989,2.2,3.1,2.2,2.2,3.4,1.7,2.2,2.2,2.4,2.0,2.1,1.9,1.6,2.5,1.7
2015-09-19 08:00:00,2015-09-21 20:00:00,59129,117.6,24.133000000000006,1.086221267516065,1.7583939108548066,1.4,1.7283925743733344,1.5895629551058794,1.7,2.2,3.1,2.2,2.2,3.4,1.7,2.2,2.2,2.4,2.0,2.1,1.9,1.6,2.5
