predict_time,MSL,ob,10UV,ob_p
2015-12-01 20:00:00,0.9600382856046964,2.8,1.447134568650264,4.0379233
2015-12-02 20:00:00,3.410925489766214,2.4,3.2409046890201174,4.003747
2016-01-03 20:00:00,0.5113583944653328,1.8,1.2004669705768554,3.8692324
2016-01-04 20:00:00,1.1281170707949286,1.5,1.129523410341512,3.6764376
2016-01-05 20:00:00,1.9691412379553408,2.7,1.2416108765568905,3.8525474
2016-01-06 20:00:00,0.7287375309172148,3.7,3.749133011908064,3.5641353
2016-01-07 20:00:00,1.3104561916156854,3.6,2.1300746702311297,4.7469273
2016-01-08 20:00:00,1.2888209331739515,4.1,2.316878816498744,3.8993366
2016-01-09 20:00:00,1.5493611461656656,3.4,1.8210423678324783,4.088198
2016-01-10 20:00:00,1.79923702524502,2.5,1.6037215203906514,4.097799
2016-01-11 20:00:00,2.1181918509370234,2.1,2.5158546381861613,4.0206184
2016-01-12 20:00:00,0.7685861333337698,2.7,2.252209341840746,4.314068
2016-01-13 20:00:00,1.5859803860428203,2.8,1.76449998635288,4.7907596
2016-01-14 20:00:00,1.1003630941202118,2.1,1.645459722492104,4.345973
2016-01-15 20:00:00,1.8871411207460367,2.9,1.881945432791892,4.1967764
2016-01-16 20:00:00,1.2877062510475523,2.4,1.9623073000008964,3.827155
2016-01-17 20:00:00,3.073151422838123,4.7,1.6417439801874056,4.1521697
2016-01-18 20:00:00,2.398174486669177,4.6,2.7290579785948363,3.8727958
2016-01-19 20:00:00,2.591200306748988,5.7,3.0594504138513168,4.1222014
2016-01-20 20:00:00,1.2650360133108052,5.0,1.8093865565675369,4.8255568
2016-01-21 20:00:00,1.4949288303049568,4.8,3.402103629368224,4.527088
2016-01-22 20:00:00,6.07566737590389,6.3,3.2451338329098167,4.7867737
2016-01-23 20:00:00,4.690264832465118,4.8,4.169958527815071,5.1649837
2016-01-24 20:00:00,3.991796585558404,4.1,2.2272537731703155,5.527382
2016-01-25 20:00:00,2.1405143617887457,3.8,2.386688142215561,4.892493
2016-01-26 20:00:00,2.989379220109868,3.7,2.125293041828201,4.825962
2016-01-27 20:00:00,1.5340908591056177,3.4,1.717831449744202,4.9249783
2016-01-28 20:00:00,2.656067825279706,2.7,2.558613646636352,4.527362
2016-01-29 20:00:00,2.4777967717490132,2.2,1.495455285571129,4.5035405
2016-01-30 20:00:00,1.4057693551640114,4.8,2.4920613989112383,4.53173
2016-01-31 20:00:00,3.5551580760422894,2.7,3.474126499616001,4.992132
2016-02-01 20:00:00,2.7337206010656696,4.0,3.5629496752273875,5.2184343
2016-02-02 20:00:00,1.8276957038915496,2.9,1.815645103166472,4.927082
2016-02-03 20:00:00,1.2892713195941496,3.2,1.981611758654199,4.64894
2016-02-04 20:00:00,2.4933732731983578,2.9,1.6135381644074978,4.6160946
2016-02-05 20:00:00,3.563827418529627,3.4,1.9800770614505576,4.278487
2016-02-06 20:00:00,2.8737072047902075,3.4,2.051068909907165,4.295199
2016-02-07 20:00:00,1.0154238865811749,3.3,1.5317836461743406,4.54485
2016-02-08 20:00:00,0.5059005880220866,3.1,1.91780482253278,4.457652
2016-02-09 20:00:00,1.5235599468476266,4.1,1.8755947081718063,4.4010286
2016-02-10 20:00:00,0.8427915961181043,2.7,1.3778657882513792,4.3470297
2016-02-11 20:00:00,1.6894938386429883,3.0,0.7878105529014647,3.8680933
2016-02-12 20:00:00,0.8720849889858755,2.3,1.1115980701567705,3.8040996
2016-02-13 20:00:00,0.8072296075969234,2.5,1.3403256325459958,3.5046222
2016-02-14 20:00:00,3.426461948952237,2.8,3.4441219594849777,3.6851099
2016-02-15 20:00:00,1.327765245265482,4.0,2.0614559789374858,4.6067033
2016-02-16 20:00:00,1.0484058746706069,2.5,1.5503134189692256,4.444705
2016-02-17 20:00:00,0.8981107240254005,3.3,1.8785765389018447,4.0376143
2016-02-18 20:00:00,1.5695267823234644,2.1,1.958803059813451,4.3152804
2016-02-19 20:00:00,3.1741538249445966,3.0,1.0994963012550882,4.2473874
2016-02-20 20:00:00,2.0678184636901733,2.6,3.7359926590876,3.887406
2016-02-21 20:00:00,1.0665669696339821,3.7,2.6779802823563177,4.82446
2016-02-22 20:00:00,2.860561617882354,3.2,1.4513948261579446,4.6996136
2016-02-23 20:00:00,3.782465692328061,3.0,4.799418101170934,4.1518416
2016-02-24 20:00:00,2.9558743346347005,4.1,3.578619194718068,5.1198463
2016-02-25 20:00:00,2.344604627425724,3.0,2.9590460229479234,5.3090725
2016-02-26 20:00:00,1.6895841402733822,3.6,1.4292692603083754,4.711235
2016-02-27 20:00:00,1.4211921938615433,3.0,1.6819649921303892,4.1116505
2016-02-28 20:00:00,3.365374027180452,3.2,2.6610732155485066,3.960738
2016-02-29 20:00:00,2.17560622830797,2.6,2.992482826886603,4.5319405
2016-12-01 20:00:00,3.3325525672348704,4.1,2.8641706230129524,4.329489
2016-12-02 20:00:00,2.284497866224797,4.6,2.008012111364435,4.6563835
2016-12-03 20:00:00,1.6124479728115375,2.5,1.3987309136520116,5.0286913
2016-12-04 20:00:00,1.3510773018795137,1.9,1.5551213885965132,4.4374914
2016-12-05 20:00:00,4.2797562987746005,2.3,2.348650603543462,4.2348886
2016-12-06 20:00:00,3.1858119820199136,2.0,2.2029908819345363,4.665839
2016-12-07 20:00:00,2.179215405941932,3.1,1.910315080493409,4.6315117
2016-12-08 20:00:00,2.6833453586680207,3.2,2.0694179828208603,4.5798388
2016-12-09 20:00:00,3.7416604904256014,4.2,2.6355442915260063,4.5291104
