,time,id,lon,lat,10U,10V,10UV,MSL,3h_Dvalue,6h_Dvalue,9h_Dvalue,12h_Dvalue,max_Dvalue,2_min_wind_force
0,2016-01-01 08:00:00,F2273,117.9,24.035,-1.5501684626613752,-2.9431234228009417,3.326409136662155,1.047703848652645,2.0372075526086064,1.2660739114794524,0.27514931607584003,0.18979095427437187,2.0372075526086064,9.3
1,2016-01-02 08:00:00,F2273,117.9,24.035,-2.4637772670581417,-2.845500418839386,3.7639169830493877,0.958514565149585,1.6631790384452645,0.8051045228623934,0.4134328773842526,0.2211784343425052,1.6631790384452645,10.6
2,2016-01-03 08:00:00,F2273,117.9,24.035,-3.2302632626027505,-4.005475056484391,5.145719694448932,1.6190789079183787,2.5358387337209933,2.353970881733403,1.80225444304142,2.322792447391066,2.5358387337209933,14.3
3,2016-01-04 08:00:00,F2273,117.9,24.035,-7.3564295523848,-7.866238960930416,10.770086868250415,3.1606300374357943,1.9268209615545402,2.2290754045963013,1.929075404596233,2.9767633291247653,2.9767633291247653,7.6
4,2016-01-05 08:00:00,F2273,117.9,24.035,-5.592935425885792,-5.359044509213844,7.745985071626677,2.1208456259777217,1.4151045228626344,0.9477455569586936,0.014566518513220215,0.7651045228626572,1.4151045228626344,2.9
5,2016-01-06 08:00:00,F2273,117.9,24.035,-5.868225302495601,-7.022223036586242,9.151376102882674,2.90677918609515,1.55225444304142,1.5317164386918876,0.4639708817336441,1.1545088860832493,1.55225444304142,4.1
6,2016-01-07 08:00:00,F2273,117.9,24.035,-3.4271714865642693,-5.8687676959148245,6.796170882705389,1.8139181381600336,1.4394619956507313,0.2494619956503357,1.1505380043496416,0.7237170427951014,1.4394619956507313,6.5
7,2016-01-08 08:00:00,F2273,117.9,24.035,-3.491099442797964,-3.862651695658757,5.206520281481646,1.5509488606116977,1.2949531095673592,0.6409822278333195,0.5561676923452978,0.4278841310372172,1.2949531095673592,10.6
8,2016-01-09 08:00:00,F2273,117.9,24.035,-6.476488988553188,-7.076800003615367,9.593018706852458,2.705512910261973,2.7194619956502493,2.413970881733235,1.8199999999999363,2.5899999999996908,2.7194619956502493,9.7
9,2016-01-10 08:00:00,F2273,117.9,24.035,-6.262242911836681,-6.662880497528641,9.143831954448652,3.0654384824914587,1.85092459540374,1.4109245954037988,0.3082835613081443,1.0033880841708651,1.85092459540374,10.5
10,2016-01-11 08:00:00,F2273,117.9,24.035,-5.8013202508271275,-5.917271794732437,8.286701523850907,2.8409909110434914,1.6054334814867843,1.048074515583039,0.05317903844536431,0.4671499201790539,1.6054334814867843,8.5
11,2016-01-12 08:00:00,F2273,117.9,24.035,-4.351824236130086,-5.0783550275939175,6.687904303177312,1.8612575427297315,1.423774675224763,0.23079184328798874,1.6245088860830492,1.4134328773840252,1.6245088860830492,7.3
12,2016-01-13 08:00:00,F2273,117.9,24.035,-5.1074648289481015,-5.400397328506147,7.4330672191685565,2.129960481710328,1.7884163134236817,0.5514625997536768,0.7239708817334076,0.2094619956502584,1.7884163134236817,9.7
13,2016-01-14 08:00:00,F2273,117.9,24.035,-3.090435843814164,-4.5713678699249005,5.517988574373192,2.75858542244464,1.1219126452007229,0.7939837209498819,2.8437746752248363,3.0225962408824216,3.0225962408824216,8.2
14,2016-01-15 08:00:00,F2273,117.9,24.035,-5.928379106491518,-6.211963646568233,8.58686037947342,2.6976643303628407,2.867358965904259,3.2228500798210007,3.342850079821005,5.0073589659042455,5.0073589659042455,10.6
15,2016-01-16 08:00:00,F2273,117.9,24.035,-5.652485834038818,-7.984659934307463,9.782913184248564,3.6939186919792064,2.465104522862476,2.269671041375545,1.9096710413756453,3.3178969702535133,3.3178969702535133,9.0
16,2016-01-17 08:00:00,F2273,117.9,24.035,-5.781068094179517,-8.551811147151946,10.322510460449662,3.9336322461422233,2.095279038468334,1.4040285141632012,0.8328500798209006,2.018492607033295,2.095279038468334,8.5
17,2016-01-18 08:00:00,F2273,117.9,24.035,-4.376958900042756,-6.559382699577694,7.885636982018808,1.8348433545363605,0.8607918432886663,0.7372796425706838,3.0848506839239462,3.0543126795741955,3.0848506839239462,6.4
18,2016-01-19 08:00:00,F2273,117.9,24.035,-7.121472890107271,-7.907962569017907,10.641956968411458,3.5852264644253182,1.6422544430413382,0.7354334814867798,0.05602911826622403,0.5256425272121987,1.6422544430413382,6.7
19,2016-01-20 08:00:00,F2273,117.9,24.035,-4.9329460693967055,-7.441522711412916,8.92805786204652,4.170806661507072,2.3197461610614027,3.011462599753372,2.5112535540282583,3.4410288247859167,3.4410288247859167,10.7
20,2016-01-21 08:00:00,F2273,117.9,24.035,-3.1165276345169177,-9.304965720870573,9.81300828305388,4.189619976071981,2.8476879245288282,4.069404363220883,4.128866358871392,5.6104803719201755,5.6104803719201755,12.7
21,2016-01-22 08:00:00,F2273,117.9,24.035,-4.082426193667467,-7.849653134281902,8.847782657552338,4.401061768338423,1.836029118266424,1.4482835613080167,0.0500933245593842,0.3559714858370171,1.836029118266424,12.1
22,2016-01-23 08:00:00,F2273,117.9,24.035,-4.49045192850682,-7.258391510524088,8.5351277578182,3.2787307075100216,1.637149920179354,0.631716438692365,0.4271051269656709,0.4509245954034213,1.637149920179354,12.6
23,2016-01-24 08:00:00,F2273,117.9,24.035,-1.68304933176336,-6.244027051421559,6.466879376641664,2.1223983476477315,0.9031790384456144,0.5899999999996908,2.3152426406352333,1.6817164386918648,2.3152426406352333,10.1
