now_time,predict_time,id,lon,lat,10UV,MSL,ob,ob_-1,ob_-2,ob_-3,ob_-4,ob_-5,ob_-6,ob_-7,ob_-8,ob_-9,ob_-10,ob_-11,ob_-12,ob_-13,ob_-14,ob_-15
2015-10-01 08:00:00,2015-10-01 20:00:00,F6032,118.04,24.41,9.199042690384694,3.865787635353968,2.0,0.8,2.4,3.8,2.0,1.8,2.2,1.8,1.8,0.9,1.4,1.6,2.5,1.8,1.9,2.1
2015-10-02 08:00:00,2015-10-02 20:00:00,F6032,118.04,24.41,6.035077822251152,3.661513456047601,0.9,2.0,0.8,2.4,3.8,2.0,1.8,2.2,1.8,1.8,0.9,1.4,1.6,2.5,1.8,1.9
2015-10-03 08:00:00,2015-10-03 20:00:00,F6032,118.04,24.41,6.635117484865257,3.4397351348508214,1.5,0.9,2.0,0.8,2.4,3.8,2.0,1.8,2.2,1.8,1.8,0.9,1.4,1.6,2.5,1.8
2015-10-04 08:00:00,2015-10-04 20:00:00,F6032,118.04,24.41,4.489326297474438,3.49839008684512,2.0,1.5,0.9,2.0,0.8,2.4,3.8,2.0,1.8,2.2,1.8,1.8,0.9,1.4,1.6,2.5
2015-10-05 08:00:00,2015-10-05 20:00:00,F6032,118.04,24.41,5.932811306882972,3.0855153394062427,1.5,2.0,1.5,0.9,2.0,0.8,2.4,3.8,2.0,1.8,2.2,1.8,1.8,0.9,1.4,1.6
2015-10-06 08:00:00,2015-10-06 20:00:00,F6032,118.04,24.41,5.765176350396218,2.127500508308799,2.0,1.5,2.0,1.5,0.9,2.0,0.8,2.4,3.8,2.0,1.8,2.2,1.8,1.8,0.9,1.4
2015-10-07 08:00:00,2015-10-07 20:00:00,F6032,118.04,24.41,2.611540357857532,1.8659096900788648,1.2,2.0,1.5,2.0,1.5,0.9,2.0,0.8,2.4,3.8,2.0,1.8,2.2,1.8,1.8,0.9
2015-10-08 08:00:00,2015-10-08 20:00:00,F6032,118.04,24.41,6.398870934143227,3.132366171855552,1.6,1.2,2.0,1.5,2.0,1.5,0.9,2.0,0.8,2.4,3.8,2.0,1.8,2.2,1.8,1.8
2015-10-09 08:00:00,2015-10-09 20:00:00,F6032,118.04,24.41,6.064999167407695,3.0129226230684485,1.5,1.6,1.2,2.0,1.5,2.0,1.5,0.9,2.0,0.8,2.4,3.8,2.0,1.8,2.2,1.8
2015-10-10 08:00:00,2015-10-10 20:00:00,F6032,118.04,24.41,5.384418685477978,4.748131653225414,2.5,1.5,1.6,1.2,2.0,1.5,2.0,1.5,0.9,2.0,0.8,2.4,3.8,2.0,1.8,2.2
2015-10-11 08:00:00,2015-10-11 20:00:00,F6032,118.04,24.41,6.975421669924897,3.5351775481949512,1.7,2.5,1.5,1.6,1.2,2.0,1.5,2.0,1.5,0.9,2.0,0.8,2.4,3.8,2.0,1.8
2015-10-12 08:00:00,2015-10-12 20:00:00,F6032,118.04,24.41,7.381676315328164,3.7738281880969,2.2,1.7,2.5,1.5,1.6,1.2,2.0,1.5,2.0,1.5,0.9,2.0,0.8,2.4,3.8,2.0
2015-10-13 08:00:00,2015-10-13 20:00:00,F6032,118.04,24.41,7.690552851576108,2.9033013495196656,1.9,2.2,1.7,2.5,1.5,1.6,1.2,2.0,1.5,2.0,1.5,0.9,2.0,0.8,2.4,3.8
2015-10-14 08:00:00,2015-10-14 20:00:00,F6032,118.04,24.41,6.644870930967729,2.5807229352654986,1.7,1.9,2.2,1.7,2.5,1.5,1.6,1.2,2.0,1.5,2.0,1.5,0.9,2.0,0.8,2.4
2015-10-15 08:00:00,2015-10-15 20:00:00,F6032,118.04,24.41,6.851644426776207,3.2276406961801736,0.9,1.7,1.9,2.2,1.7,2.5,1.5,1.6,1.2,2.0,1.5,2.0,1.5,0.9,2.0,0.8
2015-10-16 08:00:00,2015-10-16 20:00:00,F6032,118.04,24.41,9.054280937998268,4.157049626741808,2.1,0.9,1.7,1.9,2.2,1.7,2.5,1.5,1.6,1.2,2.0,1.5,2.0,1.5,0.9,2.0
2015-10-17 08:00:00,2015-10-17 20:00:00,F6032,118.04,24.41,7.908724856449223,4.223302286012881,2.4,2.1,0.9,1.7,1.9,2.2,1.7,2.5,1.5,1.6,1.2,2.0,1.5,2.0,1.5,0.9
2015-10-18 08:00:00,2015-10-18 20:00:00,F6032,118.04,24.41,7.389923110483568,4.361734853279131,2.4,2.4,2.1,0.9,1.7,1.9,2.2,1.7,2.5,1.5,1.6,1.2,2.0,1.5,2.0,1.5
2015-10-19 08:00:00,2015-10-19 20:00:00,F6032,118.04,24.41,6.32336787947949,5.031615500326893,2.1,2.4,2.4,2.1,0.9,1.7,1.9,2.2,1.7,2.5,1.5,1.6,1.2,2.0,1.5,2.0
2015-10-20 08:00:00,2015-10-20 20:00:00,F6032,118.04,24.41,6.722806681845618,4.775783515225157,2.2,2.1,2.4,2.4,2.1,0.9,1.7,1.9,2.2,1.7,2.5,1.5,1.6,1.2,2.0,1.5
2015-10-21 08:00:00,2015-10-21 20:00:00,F6032,118.04,24.41,6.4263303080277465,4.624707899298869,2.0,2.2,2.1,2.4,2.4,2.1,0.9,1.7,1.9,2.2,1.7,2.5,1.5,1.6,1.2,2.0
2015-10-22 08:00:00,2015-10-22 20:00:00,F6032,118.04,24.41,6.955424036720313,3.3821074114222256,1.9,2.0,2.2,2.1,2.4,2.4,2.1,0.9,1.7,1.9,2.2,1.7,2.5,1.5,1.6,1.2
2015-10-23 08:00:00,2015-10-23 20:00:00,F6032,118.04,24.41,4.879961859421414,3.090178770371267,1.9,1.9,2.0,2.2,2.1,2.4,2.4,2.1,0.9,1.7,1.9,2.2,1.7,2.5,1.5,1.6
2015-10-24 08:00:00,2015-10-24 20:00:00,F6032,118.04,24.41,6.45960915438581,2.9393059024175727,1.2,1.9,1.9,2.0,2.2,2.1,2.4,2.4,2.1,0.9,1.7,1.9,2.2,1.7,2.5,1.5
2015-10-25 08:00:00,2015-10-25 20:00:00,F6032,118.04,24.41,5.4687858990218094,1.7930984211723169,1.4,1.2,1.9,1.9,2.0,2.2,2.1,2.4,2.4,2.1,0.9,1.7,1.9,2.2,1.7,2.5
2015-10-26 08:00:00,2015-10-26 20:00:00,F6032,118.04,24.41,1.8009449889165954,1.5519843150074166,0.7,1.4,1.2,1.9,1.9,2.0,2.2,2.1,2.4,2.4,2.1,0.9,1.7,1.9,2.2,1.7
2015-10-27 08:00:00,2015-10-27 20:00:00,F6032,118.04,24.41,6.425443811644138,2.0192704482876707,2.3,0.7,1.4,1.2,1.9,1.9,2.0,2.2,2.1,2.4,2.4,2.1,0.9,1.7,1.9,2.2
2015-10-28 08:00:00,2015-10-28 20:00:00,F6032,118.04,24.41,5.454790668328063,1.9861553660139184,2.0,2.3,0.7,1.4,1.2,1.9,1.9,2.0,2.2,2.1,2.4,2.4,2.1,0.9,1.7,1.9
2015-10-29 08:00:00,2015-10-29 20:00:00,F6032,118.04,24.41,1.284948701971958,1.6776904885078918,2.2,2.0,2.3,0.7,1.4,1.2,1.9,1.9,2.0,2.2,2.1,2.4,2.4,2.1,0.9,1.7
2015-10-30 08:00:00,2015-10-30 20:00:00,F6032,118.04,24.41,8.31189429884594,3.4822576227306854,1.7,2.2,2.0,2.3,0.7,1.4,1.2,1.9,1.9,2.0,2.2,2.1,2.4,2.4,2.1,0.9
2015-10-31 08:00:00,2015-10-31 20:00:00,F6032,118.04,24.41,8.033368679875087,3.1709378752683506,1.6,1.7,2.2,2.0,2.3,0.7,1.4,1.2,1.9,1.9,2.0,2.2,2.1,2.4,2.4,2.1
2015-11-01 08:00:00,2015-11-01 20:00:00,F6032,118.04,24.41,7.073043049980747,3.943938856560976,1.5,1.6,1.7,2.2,2.0,2.3,0.7,1.4,1.2,1.9,1.9,2.0,2.2,2.1,2.4,2.4
2015-11-02 08:00:00,2015-11-02 20:00:00,F6032,118.04,24.41,8.789286381803086,3.5288532308954927,2.0,1.5,1.6,1.7,2.2,2.0,2.3,0.7,1.4,1.2,1.9,1.9,2.0,2.2,2.1,2.4
2015-11-03 08:00:00,2015-11-03 20:00:00,F6032,118.04,24.41,7.519959596778022,4.0981122911340435,1.8,2.0,1.5,1.6,1.7,2.2,2.0,2.3,0.7,1.4,1.2,1.9,1.9,2.0,2.2,2.1
2015-11-04 08:00:00,2015-11-04 20:00:00,F6032,118.04,24.41,4.732974783693955,2.8566280126932497,1.8,1.8,2.0,1.5,1.6,1.7,2.2,2.0,2.3,0.7,1.4,1.2,1.9,1.9,2.0,2.2
2015-11-05 08:00:00,2015-11-05 20:00:00,F6032,118.04,24.41,3.829718229737351,2.46679118607608,1.3,1.8,1.8,2.0,1.5,1.6,1.7,2.2,2.0,2.3,0.7,1.4,1.2,1.9,1.9,2.0
2015-11-07 08:00:00,2015-11-07 20:00:00,F6032,118.04,24.41,1.3186556053174654,1.739013462891876,1.6,1.8,1.3,1.8,1.8,2.0,1.5,1.6,1.7,2.2,2.0,2.3,0.7,1.4,1.2,1.9
2015-11-08 08:00:00,2015-11-08 20:00:00,F6032,118.04,24.41,4.623809332751891,2.72943100781481,2.6,1.6,1.8,1.3,1.8,1.8,2.0,1.5,1.6,1.7,2.2,2.0,2.3,0.7,1.4,1.2
2015-11-09 08:00:00,2015-11-09 20:00:00,F6032,118.04,24.41,9.581229911244153,2.8548775669870565,2.1,2.6,1.6,1.8,1.3,1.8,1.8,2.0,1.5,1.6,1.7,2.2,2.0,2.3,0.7,1.4
2015-11-10 08:00:00,2015-11-10 20:00:00,F6032,118.04,24.41,9.173602249936812,2.8149228393014027,1.3,2.1,2.6,1.6,1.8,1.3,1.8,1.8,2.0,1.5,1.6,1.7,2.2,2.0,2.3,0.7
2015-11-11 08:00:00,2015-11-11 20:00:00,F6032,118.04,24.41,8.138972855025418,2.7867597041145022,1.8,1.3,2.1,2.6,1.6,1.8,1.3,1.8,1.8,2.0,1.5,1.6,1.7,2.2,2.0,2.3
2015-11-12 08:00:00,2015-11-12 20:00:00,F6032,118.04,24.41,4.819110692259531,2.354882589102658,1.0,1.8,1.3,2.1,2.6,1.6,1.8,1.3,1.8,1.8,2.0,1.5,1.6,1.7,2.2,2.0
2015-11-13 08:00:00,2015-11-13 20:00:00,F6032,118.04,24.41,5.263678117606972,2.699750445402969,1.9,1.0,1.8,1.3,2.1,2.6,1.6,1.8,1.3,1.8,1.8,2.0,1.5,1.6,1.7,2.2
2015-11-14 08:00:00,2015-11-14 20:00:00,F6032,118.04,24.41,7.4893299653898815,2.5605365598041767,2.4,1.9,1.0,1.8,1.3,2.1,2.6,1.6,1.8,1.3,1.8,1.8,2.0,1.5,1.6,1.7
2015-11-15 08:00:00,2015-11-15 20:00:00,F6032,118.04,24.41,5.137232956922028,1.8089146489204493,2.0,2.4,1.9,1.0,1.8,1.3,2.1,2.6,1.6,1.8,1.3,1.8,1.8,2.0,1.5,1.6
2015-11-16 08:00:00,2015-11-16 20:00:00,F6032,118.04,24.41,1.4977411483325709,1.2674164872501024,2.4,2.0,2.4,1.9,1.0,1.8,1.3,2.1,2.6,1.6,1.8,1.3,1.8,1.8,2.0,1.5
2015-11-17 08:00:00,2015-11-17 20:00:00,F6032,118.04,24.41,1.366931628108256,2.270138053545565,1.1,2.4,2.0,2.4,1.9,1.0,1.8,1.3,2.1,2.6,1.6,1.8,1.3,1.8,1.8,2.0
2015-11-18 08:00:00,2015-11-18 20:00:00,F6032,118.04,24.41,7.632173248313254,2.3058217206312293,2.2,1.1,2.4,2.0,2.4,1.9,1.0,1.8,1.3,2.1,2.6,1.6,1.8,1.3,1.8,1.8
2015-11-19 08:00:00,2015-11-19 20:00:00,F6032,118.04,24.41,6.7801530258597165,2.8765336713632905,0.9,2.2,1.1,2.4,2.0,2.4,1.9,1.0,1.8,1.3,2.1,2.6,1.6,1.8,1.3,1.8
2015-11-20 08:00:00,2015-11-20 20:00:00,F6032,118.04,24.41,6.232951065092283,2.9239973025022437,1.6,0.9,2.2,1.1,2.4,2.0,2.4,1.9,1.0,1.8,1.3,2.1,2.6,1.6,1.8,1.3
2015-11-21 08:00:00,2015-11-21 20:00:00,F6032,118.04,24.41,4.724862743226294,3.5763386088430025,1.3,1.6,0.9,2.2,1.1,2.4,2.0,2.4,1.9,1.0,1.8,1.3,2.1,2.6,1.6,1.8
2015-11-22 08:00:00,2015-11-22 20:00:00,F6032,118.04,24.41,4.8851935531707005,3.2721489414245752,1.2,1.3,1.6,0.9,2.2,1.1,2.4,2.0,2.4,1.9,1.0,1.8,1.3,2.1,2.6,1.6
2015-11-23 08:00:00,2015-11-23 20:00:00,F6032,118.04,24.41,8.974810171248144,2.9070268457654715,1.6,1.2,1.3,1.6,0.9,2.2,1.1,2.4,2.0,2.4,1.9,1.0,1.8,1.3,2.1,2.6
2015-11-24 08:00:00,2015-11-24 20:00:00,F6032,118.04,24.41,7.206308341689668,2.9615555991156266,1.3,1.6,1.2,1.3,1.6,0.9,2.2,1.1,2.4,2.0,2.4,1.9,1.0,1.8,1.3,2.1
2015-11-25 08:00:00,2015-11-25 20:00:00,F6032,118.04,24.41,6.877181235379117,5.2693859311240185,2.1,1.3,1.6,1.2,1.3,1.6,0.9,2.2,1.1,2.4,2.0,2.4,1.9,1.0,1.8,1.3
2015-11-26 08:00:00,2015-11-26 20:00:00,F6032,118.04,24.41,9.616947495375618,3.777743435403181,2.5,2.1,1.3,1.6,1.2,1.3,1.6,0.9,2.2,1.1,2.4,2.0,2.4,1.9,1.0,1.8
2015-11-27 08:00:00,2015-11-27 20:00:00,F6032,118.04,24.41,8.411708101324647,2.6948250594978163,3.0,2.5,2.1,1.3,1.6,1.2,1.3,1.6,0.9,2.2,1.1,2.4,2.0,2.4,1.9,1.0
2015-11-28 08:00:00,2015-11-28 20:00:00,F6032,118.04,24.41,5.9565100577089325,2.333380452273332,1.7,3.0,2.5,2.1,1.3,1.6,1.2,1.3,1.6,0.9,2.2,1.1,2.4,2.0,2.4,1.9
2015-11-29 08:00:00,2015-11-29 20:00:00,F6032,118.04,24.41,6.773136340734718,2.9449630292946267,1.2,1.7,3.0,2.5,2.1,1.3,1.6,1.2,1.3,1.6,0.9,2.2,1.1,2.4,2.0,2.4
2015-11-30 08:00:00,2015-11-30 20:00:00,F6032,118.04,24.41,7.130284252089745,2.092332086578608,1.6,1.2,1.7,3.0,2.5,2.1,1.3,1.6,1.2,1.3,1.6,0.9,2.2,1.1,2.4,2.0
2016-10-01 08:00:00,2016-10-01 20:00:00,F6032,118.04,24.41,2.9148680433826697,2.9941620882195816,3.2,2.0,3.6,8.0,8.3,1.9,1.9,2.5,1.7,2.4,2.0,2.1,1.7,2.0,1.1,2.6
2016-10-02 08:00:00,2016-10-02 20:00:00,F6032,118.04,24.41,1.5205428804607657,2.8482315780673844,3.2,3.2,2.0,3.6,8.0,8.3,1.9,1.9,2.5,1.7,2.4,2.0,2.1,1.7,2.0,1.1
2016-10-03 08:00:00,2016-10-03 20:00:00,F6032,118.04,24.41,1.8052457097393584,2.7345678127334168,2.0,3.2,3.2,2.0,3.6,8.0,8.3,1.9,1.9,2.5,1.7,2.4,2.0,2.1,1.7,2.0
2016-10-04 08:00:00,2016-10-04 20:00:00,F6032,118.04,24.41,2.3256404588075044,3.1065967993978347,1.4,2.0,3.2,3.2,2.0,3.6,8.0,8.3,1.9,1.9,2.5,1.7,2.4,2.0,2.1,1.7
2016-10-05 08:00:00,2016-10-05 20:00:00,F6032,118.04,24.41,5.55310997377047,5.54287253189932,3.7,1.4,2.0,3.2,3.2,2.0,3.6,8.0,8.3,1.9,1.9,2.5,1.7,2.4,2.0,2.1
2016-10-06 08:00:00,2016-10-06 20:00:00,F6032,118.04,24.41,4.661647736131498,5.111864625852377,2.1,3.7,1.4,2.0,3.2,3.2,2.0,3.6,8.0,8.3,1.9,1.9,2.5,1.7,2.4,2.0
2016-10-07 08:00:00,2016-10-07 20:00:00,F6032,118.04,24.41,3.69237360973519,3.511006587783413,4.6,2.1,3.7,1.4,2.0,3.2,3.2,2.0,3.6,8.0,8.3,1.9,1.9,2.5,1.7,2.4
2016-10-08 08:00:00,2016-10-08 20:00:00,F6032,118.04,24.41,8.925522225185917,6.489155809364205,3.6,4.6,2.1,3.7,1.4,2.0,3.2,3.2,2.0,3.6,8.0,8.3,1.9,1.9,2.5,1.7
2016-10-09 08:00:00,2016-10-09 20:00:00,F6032,118.04,24.41,7.421721157289416,4.855016327887029,3.3,3.6,4.6,2.1,3.7,1.4,2.0,3.2,3.2,2.0,3.6,8.0,8.3,1.9,1.9,2.5
2016-10-10 08:00:00,2016-10-10 20:00:00,F6032,118.04,24.41,5.463877038852044,5.244616040634013,2.3,3.3,3.6,4.6,2.1,3.7,1.4,2.0,3.2,3.2,2.0,3.6,8.0,8.3,1.9,1.9
2016-10-11 08:00:00,2016-10-11 20:00:00,F6032,118.04,24.41,6.941631911457709,4.222033964156708,1.5,2.3,3.3,3.6,4.6,2.1,3.7,1.4,2.0,3.2,3.2,2.0,3.6,8.0,8.3,1.9
2016-10-12 08:00:00,2016-10-12 20:00:00,F6032,118.04,24.41,5.562148364631957,3.6979570766550296,2.1,1.5,2.3,3.3,3.6,4.6,2.1,3.7,1.4,2.0,3.2,3.2,2.0,3.6,8.0,8.3
2016-10-13 08:00:00,2016-10-13 20:00:00,F6032,118.04,24.41,5.3706851442486,3.6162449609410032,2.0,2.1,1.5,2.3,3.3,3.6,4.6,2.1,3.7,1.4,2.0,3.2,3.2,2.0,3.6,8.0
2016-10-14 08:00:00,2016-10-14 20:00:00,F6032,118.04,24.41,4.5001138368230285,4.925018618315448,2.0,2.0,2.1,1.5,2.3,3.3,3.6,4.6,2.1,3.7,1.4,2.0,3.2,3.2,2.0,3.6
2016-10-15 08:00:00,2016-10-15 20:00:00,F6032,118.04,24.41,5.516175551640487,4.670615445192084,2.4,2.0,2.0,2.1,1.5,2.3,3.3,3.6,4.6,2.1,3.7,1.4,2.0,3.2,3.2,2.0
2016-10-16 08:00:00,2016-10-16 20:00:00,F6032,118.04,24.41,5.6081740647868825,3.9493647183599023,1.8,2.4,2.0,2.0,2.1,1.5,2.3,3.3,3.6,4.6,2.1,3.7,1.4,2.0,3.2,3.2
2016-10-17 08:00:00,2016-10-17 20:00:00,F6032,118.04,24.41,6.781850089560198,4.644436674595909,1.8,1.8,2.4,2.0,2.0,2.1,1.5,2.3,3.3,3.6,4.6,2.1,3.7,1.4,2.0,3.2
2016-10-18 08:00:00,2016-10-18 20:00:00,F6032,118.04,24.41,6.236928215260883,3.910165301108577,1.4,1.8,1.8,2.4,2.0,2.0,2.1,1.5,2.3,3.3,3.6,4.6,2.1,3.7,1.4,2.0
2016-10-19 08:00:00,2016-10-19 20:00:00,F6032,118.04,24.41,6.523926254219465,5.0012013945952285,2.7,1.4,1.8,1.8,2.4,2.0,2.0,2.1,1.5,2.3,3.3,3.6,4.6,2.1,3.7,1.4
2016-10-21 08:00:00,2016-10-21 20:00:00,F6032,118.04,24.41,7.776224232417826,0.7600449441600858,5.1,3.1,2.7,1.4,1.8,1.8,2.4,2.0,2.0,2.1,1.5,2.3,3.3,3.6,4.6,2.1
2016-10-22 08:00:00,2016-10-22 20:00:00,F6032,118.04,24.41,3.911341432874272,2.7324929978028654,3.0,5.1,3.1,2.7,1.4,1.8,1.8,2.4,2.0,2.0,2.1,1.5,2.3,3.3,3.6,4.6
2016-10-23 08:00:00,2016-10-23 20:00:00,F6032,118.04,24.41,5.456558764364423,2.8528838707592286,4.5,3.0,5.1,3.1,2.7,1.4,1.8,1.8,2.4,2.0,2.0,2.1,1.5,2.3,3.3,3.6
2016-10-24 08:00:00,2016-10-24 20:00:00,F6032,118.04,24.41,2.6513060229878365,2.3268993001725,2.3,4.5,3.0,5.1,3.1,2.7,1.4,1.8,1.8,2.4,2.0,2.0,2.1,1.5,2.3,3.3
2016-10-25 08:00:00,2016-10-25 20:00:00,F6032,118.04,24.41,1.3037421285553468,2.7580632988205025,1.5,2.3,4.5,3.0,5.1,3.1,2.7,1.4,1.8,1.8,2.4,2.0,2.0,2.1,1.5,2.3
2016-10-26 08:00:00,2016-10-26 20:00:00,F6032,118.04,24.41,1.2698195618039991,2.5638412268741604,1.4,1.5,2.3,4.5,3.0,5.1,3.1,2.7,1.4,1.8,1.8,2.4,2.0,2.0,2.1,1.5
