now_time,predict_time,id,lon,lat,10UV,MSL,ob,ob_-1,ob_-2,ob_-3,ob_-4,ob_-5,ob_-6,ob_-7,ob_-8,ob_-9,ob_-10,ob_-11,ob_-12,ob_-13,ob_-14,ob_-15
2015-07-01 08:00:00,2015-07-01 20:00:00,F6127,117.707,23.78,8.658996785577493,1.025139888865965,5.3,5.6,5.4,4.9,5.2,4.2,4.0,3.0,4.7,5.4,6.4,6.3,5.7,4.9,4.6,3.6
2015-07-02 08:00:00,2015-07-02 20:00:00,F6127,117.707,23.78,7.594056353366526,0.6803437281382685,4.3,5.3,5.6,5.4,4.9,5.2,4.2,4.0,3.0,4.7,5.4,6.4,6.3,5.7,4.9,4.6
2015-07-03 08:00:00,2015-07-03 20:00:00,F6127,117.707,23.78,5.030009572482687,0.9902474727397248,3.0,4.3,5.3,5.6,5.4,4.9,5.2,4.2,4.0,3.0,4.7,5.4,6.4,6.3,5.7,4.9
2015-07-04 08:00:00,2015-07-04 20:00:00,F6127,117.707,23.78,6.71338253234149,2.298794724919844,10.5,3.0,4.3,5.3,5.6,5.4,4.9,5.2,4.2,4.0,3.0,4.7,5.4,6.4,6.3,5.7
2015-07-05 08:00:00,2015-07-05 20:00:00,F6127,117.707,23.78,7.741649944496433,2.2584204779269608,9.9,10.5,3.0,4.3,5.3,5.6,5.4,4.9,5.2,4.2,4.0,3.0,4.7,5.4,6.4,6.3
2015-07-06 08:00:00,2015-07-06 20:00:00,F6127,117.707,23.78,7.495548944013118,2.2434061964135026,9.6,9.9,10.5,3.0,4.3,5.3,5.6,5.4,4.9,5.2,4.2,4.0,3.0,4.7,5.4,6.4
2015-07-07 08:00:00,2015-07-07 20:00:00,F6127,117.707,23.78,11.910775686187213,7.597002598227164,8.4,9.6,9.9,10.5,3.0,4.3,5.3,5.6,5.4,4.9,5.2,4.2,4.0,3.0,4.7,5.4
2015-07-08 08:00:00,2015-07-08 20:00:00,F6127,117.707,23.78,14.078615143355842,6.810332971481897,16.5,8.4,9.6,9.9,10.5,3.0,4.3,5.3,5.6,5.4,4.9,5.2,4.2,4.0,3.0,4.7
2015-07-09 08:00:00,2015-07-09 20:00:00,F6127,117.707,23.78,9.843320550450557,2.9302532972365043,12.5,16.5,8.4,9.6,9.9,10.5,3.0,4.3,5.3,5.6,5.4,4.9,5.2,4.2,4.0,3.0
2015-07-10 08:00:00,2015-07-10 20:00:00,F6127,117.707,23.78,9.454073711215145,2.5262649209785195,10.8,12.5,16.5,8.4,9.6,9.9,10.5,3.0,4.3,5.3,5.6,5.4,4.9,5.2,4.2,4.0
2015-07-11 08:00:00,2015-07-11 20:00:00,F6127,117.707,23.78,8.243855758106472,1.6853309301120591,7.4,10.8,12.5,16.5,8.4,9.6,9.9,10.5,3.0,4.3,5.3,5.6,5.4,4.9,5.2,4.2
2015-07-12 08:00:00,2015-07-12 20:00:00,F6127,117.707,23.78,5.00368421123763,0.9953521409237284,4.5,7.4,10.8,12.5,16.5,8.4,9.6,9.9,10.5,3.0,4.3,5.3,5.6,5.4,4.9,5.2
2015-07-13 08:00:00,2015-07-13 20:00:00,F6127,117.707,23.78,3.6484211561199738,1.219738020836303,3.8,4.5,7.4,10.8,12.5,16.5,8.4,9.6,9.9,10.5,3.0,4.3,5.3,5.6,5.4,4.9
2015-07-14 08:00:00,2015-07-14 20:00:00,F6127,117.707,23.78,3.3838688432294917,1.067223669576947,2.6,3.8,4.5,7.4,10.8,12.5,16.5,8.4,9.6,9.9,10.5,3.0,4.3,5.3,5.6,5.4
2015-07-15 08:00:00,2015-07-15 20:00:00,F6127,117.707,23.78,1.5154589214732022,1.4715466856797548,1.8,2.6,3.8,4.5,7.4,10.8,12.5,16.5,8.4,9.6,9.9,10.5,3.0,4.3,5.3,5.6
2015-07-16 08:00:00,2015-07-16 20:00:00,F6127,117.707,23.78,1.848977698976604,1.3149274954424754,1.8,1.8,2.6,3.8,4.5,7.4,10.8,12.5,16.5,8.4,9.6,9.9,10.5,3.0,4.3,5.3
2015-07-17 08:00:00,2015-07-17 20:00:00,F6127,117.707,23.78,4.6655807873496755,2.2309136363402327,3.2,1.8,1.8,2.6,3.8,4.5,7.4,10.8,12.5,16.5,8.4,9.6,9.9,10.5,3.0,4.3
2015-07-18 08:00:00,2015-07-18 20:00:00,F6127,117.707,23.78,8.393605467232936,2.368169895138976,9.6,3.2,1.8,1.8,2.6,3.8,4.5,7.4,10.8,12.5,16.5,8.4,9.6,9.9,10.5,3.0
2015-07-19 08:00:00,2015-07-19 20:00:00,F6127,117.707,23.78,11.584617014605634,0.8235053231796883,8.8,9.6,3.2,1.8,1.8,2.6,3.8,4.5,7.4,10.8,12.5,16.5,8.4,9.6,9.9,10.5
